year,state,county,fips,poptotal,pop16o,popu18,pop25o,pop324,pop60o,popnc,popnc18o,pophh,popinst,popogq,popmetro,malepop,femalepop,whitepop,blackpop,hisppop,aapipop,aianpop,multipop,otherpop,enroll,nohs,hsplus,bacc,grad,empop,unempop,cnoninst,hcnone,hcpub,hcpvt,earnmed,earnpc,incmed,incpc
2008,Texas,Wichita County,48485,127299,100209,31023,79794,41790,21110,5213,4825,115714,6149,5436,127299,65836,61463,88620,14696,18623,2507,1404,1449,3336,30326,45475,64114,12820,4890,63093,1943,88624,20627,31249,75423,26788.800000000003,36030.593937932324,30137.4,39452.376520421996
2008,Texas,Williamson County,48491,394196,297010,107730,250254,125322,51210,24159,20951,388713,3139,2344,394196,196849,197347,264939,23900,79517,17903,1470,6145,17081,95460,133543,169142,64279,27232,207762,11812,291773,58511,67739,267946,34602.200000000004,45458.10030832279,37057.840000000004,48070.886993044565
2012,Texas,Bexar County,48029,1786819,1367665,472744,1115551,592456,279623,147167,131727,1752701,12382,21736,1786819,878309,908510,529905,125355,1055270,44042,3674,26624,210352,447416,697570,775381,205164,108704,826797,72938,1334057,345545,550802,890472,27169.999999999996,39118.17570570401,29259.999999999996,42136.44354766242
2012,Texas,Brazoria County,48039,325039,246460,87920,209568,101788,47696,22774,20862,315066,9726,247,325039,161389,163650,167983,41245,92494,18291,54,4972,20508,78307,128362,138345,39991,18341,147294,9699,236629,74593,78788,171658,37620,49666.82153698599,41800,51720.0535446464
2012,Texas,Brazos County,48041,201600,164778,41356,99466,94484,22878,21008,19498,186817,3089,11694,201600,101976,99624,117587,21236,48350,10850,201,3341,13250,78596,60559,92644,31385,17012,92126,8163,150069,32972,43411,125217,17765,30213.558688050314,20900,32477.184443438153
2012,Texas,Cameron County,48061,415463,296816,134370,238335,155893,65562,67414,62612,412183,2209,1071,415463,200815,214648,42493,1423,367143,3097,113,911,37711,121873,230845,143735,28815,12068,145360,20128,293565,135443,166330,113690,20900,30311.604973076286,22781,32073.587296540652
2012,Texas,Collin County,48085,834231,627444,231894,539669,260271,108750,78608,71461,830420,2422,1389,834231,410327,423904,514880,74522,125490,99160,2247,16346,14807,216927,271636,282478,186303,93814,435139,19410,623633,119219,122090,592922,43890,61938.86230867046,47025,64940.5824069844
2012,Texas,Dallas County,48113,2453267,1851540,669836,1541215,792723,336019,407149,370980,2422476,20175,10616,2453267,1212531,1240736,786748,541060,954272,129814,4233,33037,249694,593215,1057607,934047,303983,157630,1162300,105590,1820826,656374,720315,1076578,29259.999999999996,43189.207440456325,31349.999999999996,45622.087881742096
2012,Texas,Denton County,48121,707419,537512,190419,447754,229835,86433,54980,50045,695812,3886,7721,707419,349309,358110,443071,58261,131561,48913,2446,19301,14285,185781,233020,290164,132343,51892,368596,28893,525905,115342,124714,467363,38665,51819.22393667539,40755,54279.74494304474
2012,Texas,Ector County,48135,144519,108256,40666,87792,49890,21021,12759,12005,142577,1550,392,144519,71982,72537,55989,6224,79581,1152,273,1300,6479,36961,63558,69109,8348,3504,69884,3467,106381,40185,33971,70363,28162.749999999996,39592.680312116216,30722.999999999996,41390.84922852813
