year,GEOID,NAME,B01001_001E,B01001_001M,B09001_001E,B09001_001M,B16008_046E,B16008_046M,B01002_001E,B01002_001M,B19083_001E,B19083_001M,B20017_001E,B20017_001M,B19301_001E,B19301_001M,B15003_017E,B15003_017M,B15003_018E,B15003_018M,B15003_019E,B15003_019M,B15003_020E,B15003_020M,B15003_021E,B15003_021M,B15003_022E,B15003_022M,B15003_023E,B15003_023M,B15003_024E,B15003_024M,B15003_025E,B15003_025M,B14001_001E,B14001_001M,B14001_002E,B14001_002M,B01001_003E,B01001_003M,B01001_004E,B01001_004M,B01001_005E,B01001_005M,B01001_006E,B01001_006M,B01001_007E,B01001_007M,B01001_008E,B01001_008M,B01001_009E,B01001_009M,B01001_010E,B01001_010M,B01001_027E,B01001_027M,B01001_028E,B01001_028M,B01001_029E,B01001_029M,B01001_030E,B01001_030M,B01001_031E,B01001_031M,B01001_032E,B01001_032M,B01001_033E,B01001_033M,B01001_034E,B01001_034M,B03002_001E,B03002_001M,B03002_002E,B03002_002M,B03002_003E,B03002_003M,B03002_004E,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_010E,B03002_010M,B03002_011E,B03002_011M,B03002_012E,B03002_012M
2012,18,Indiana,6537334,NA,1589419,2940,176375,7730,37.3,0.1,0.4417,0.0035,27386,235,23898,197,1288444,15566,222358,6485,283019,8157,602891,11435,347606,9028,643210,11414,259870,7456,55872,3380,43157,3415,6288186,5209,1753514,11998,216539,1869,223661,4755,234675,4811,139823,1884,96725,3121,50538,3474,53804,3708,139268,4553,207618,2405,216691,6259,219227,5810,131185,1640,94722,2648,50480,3516,53371,3390,130062,4666,6537334,NA,6128434,1327,5289249,2878,590436,6613,12462,1436,107176,3763,1722,877,9667,2748,117722,7125,3244,1088,114478,7341,408900,1327
2012,19,Iowa,3074186,NA,722666,2259,75144,4358,38,0.3,0.4328,0.0048,29546,514,26436,266,578840,8900,78802,4019,158526,5287,286686,5988,226481,5706,368331,7253,117508,4266,29743,2570,20738,2115,2959203,3259,809898,7334,99826,1965,99995,3195,108733,3176,62094,1227,44030,1553,28083,2472,25411,2008,63723,2851,96171,1531,101968,3701,95174,3222,58705,1346,45835,1575,23863,1939,20858,2324,62724,2871,3074186,NA,2913542,1481,2705704,1557,89449,3644,6729,1410,56038,2136,2189,736,3064,1137,50369,4292,1176,630,49193,4271,160644,1481
2012,20,Kansas,2885905,NA,721277,1941,108372,5377,36,0.1,0.4496,0.005,28554,502,26390,371,432186,8598,77218,3991,149439,5348,306074,8933,149866,5790,362899,7111,149868,6515,33378,2414,20097,1891,2768504,3076,802896,7794,102507,1423,103556,3521,101425,3437,59694,1348,46720,2475,25481,2596,23662,2472,61728,3077,98911,1585,98998,3529,99236,3368,56950,1546,44429,2081,21234,2234,22457,1846,55693,2569,2885905,NA,2570129,269,2234826,609,162574,4083,22793,2375,71374,2649,2155,1442,1204,638,75203,4948,1416,791,73787,4941,315776,269
2012,21,Kentucky,4380415,NA,1017979,1760,74188,4813,38.4,0.2,0.4667,0.004,26430,225,22722,219,800468,9902,200288,5835,192121,5679,414942,9024,211692,7621,378979,8063,185306,5987,46602,3077,28258,2442,4224180,4348,1108468,10750,140587,1883,144129,4578,149225,3925,88324,1755,61115,2555,35495,2911,37160,3276,84834,4553,136086,2290,136575,4100,142892,4415,80161,1649,59698,2679,29630,2814,34278,3116,84765,3916,4380415,NA,4246380,1860,3760302,1815,340056,6013,6965,1224,55143,3007,2149,1098,4783,2029,76982,5820,1374,487,75608,5805,134035,1860
2012,22,Louisiana,4601893,NA,1119124,1929,92991,6268,36,0.2,0.4859,0.0049,27273,320,23800,263,869245,12122,160720,6700,157638,5891,488181,11390,160063,5980,433223,9068,155282,5941,45446,3681,26117,2277,4423331,4405,1207176,10342,154816,2146,160431,5204,161763,5752,92842,1939,67600,2692,38399,3287,36266,3749,97492,5384,154464,2471,147331,4875,159556,5096,87921,2080,66506,2893,34525,2703,33899,3259,101477,4433,4601893,NA,4394257,928,2748748,2233,1472115,5296,22089,1794,71648,2376,2209,1073,10375,2957,67073,5734,2619,986,64454,5598,207636,928
2012,23,Maine,1329192,NA,265987,1224,18743,2509,43.5,0.2,0.445,0.007,27160,375,26020,410,278442,5885,50825,3993,59370,3358,128191,4914,85732,3769,171449,5069,65911,3474,16093,1851,11276,1653,1292046,1728,306571,5266,34042,760,40740,2327,37014,2336,25351,630,19070,886,7655,1158,8760,1397,23150,1715,32148,726,36152,2164,37274,2035,23266,543,17827,902,9398,1583,8922,1705,21406,1830,1329192,NA,1310741,699,1250688,432,13316,1637,7462,968,14396,1393,127,135,453,324,24299,2223,763,453,23536,2233,18451,699
2012,24,Maryland,5884563,NA,1342935,1292,403898,10993,38.1,0.2,0.4473,0.0034,39240,609,35144,272,918055,15341,116998,4825,236421,6748,548129,10301,251712,8044,795930,14788,460951,9564,115222,4675,94884,4443,5674843,5617,1580906,11337,185624,1508,194000,5031,186127,5222,118250,1260,85171,2061,42379,3779,44797,3624,120311,4169,179001,1499,181963,4824,184106,5036,113864,1327,77267,2048,40592,3222,42859,3081,116117,4167,5884563,NA,5374115,665,3166263,1649,1696151,7322,12471,1611,337959,4148,2324,1015,10096,2800,148851,8143,5356,1664,143495,8245,510448,665
2012,25,Massachusetts,6646144,NA,1401255,989,442019,12172,39.5,0.2,0.4813,0.004,36386,274,34907,338,1048250,16118,133672,5517,229750,6850,536287,11263,347381,7274,1011713,13951,541323,11306,132494,5420,104415,4763,6439002,4912,1761641,10751,186715,952,193392,5527,206391,5684,129057,1054,106346,1871,53376,3771,51891,3732,132179,3943,177144,975,185533,5095,198829,5111,124194,1169,109726,1961,55375,3794,53072,3284,126315,3670,6646144,NA,5972259,1080,5003798,4028,425654,5207,7210,1418,378962,3974,850,603,37684,4617,118101,6349,16324,2660,101777,5342,673885,1080
2012,26,Michigan,9883360,NA,2267623,2474,269484,8119,39.5,0.1,0.4624,0.0027,26733,211,25074,161,1758949,14708,265246,7287,503556,8352,1078391,13703,575915,9764,1062110,11564,490025,8512,103848,3979,67420,3248,9551345,4488,2652338,11757,292588,1619,316554,6107,338507,6141,214197,1732,147065,2353,81784,4265,75683,4348,201102,4192,279057,1610,301964,6169,323772,6447,200984,1412,138683,2099,79167,4627,77848,4299,193387,5021,9883360,NA,9428442,615,7523647,2218,1375814,7283,49914,2705,247148,4162,1612,678,11165,2629,219142,9448,8375,1321,210767,9166,454918,615
2012,27,Minnesota,5379139,NA,1277800,1724,179919,7671,37.6,0.1,0.4441,0.0033,32084,214,30529,259,840396,10801,111745,4167,245952,6521,555546,8956,381595,8657,807626,12224,272778,7611,72103,3888,42833,3209,5177211,4744,1414524,8148,176324,1468,186104,3614,179835,3632,110629,1270,73611,1400,33252,2872,38671,2887,108094,3881,171257,1841,179507,4748,170683,4060,103461,1423,73275,1469,35753,2672,38170,2875,99769,3663,5379139,NA,5115114,630,4424944,1553,282628,5276,53113,1957,225697,3451,2276,990,4827,1523,121629,6596,3706,1390,117923,6619,264025,630
