fips,state,year,poptotal,malepop,femalepop,popu18,pop25o,pop324,pop60o,whitepop,blackpop,hisppop,asianpop,amindpop,multipop,otherpop,noncit,noncit18o,enroll,nohs,hs,bacc,grad,incmed,incmean,incpc,medage,meanage
1,Alabama,2014,4849377,2350416,2498961,1106022,3259312,1422053,1050153,3204860,1290717,190249,58003,21010,76288,8250,101594,94030,1060264,501295,2006929,473969,277119,26291.200000000004,38145.28020326322,18034.70791706762,38,38.68572231030914
2,Alaska,2014,736732,388235,348497,185701,467514,235586,114733,455168,22786,49326,51970,101583,55183,716,24448,21066,167978,37732,293732,87538,48512,36403.200000000004,48301.273004964045,27815.597003519328,33,34.897046687262126
4,Arizona,2014,6731484,3337421,3394063,1621246,4438054,2047733,1448291,3778221,271768,2056370,216212,266858,134783,7272,556109,506706,1538421,614347,2607308,768920,447479,30234.880000000005,40714.63624299835,19445.96099144379,36,37.996918510093764
5,Arkansas,2014,2966369,1454228,1512141,706853,1969913,891339,645214,2176436,465115,205487,44406,15877,55385,3663,102426,92833,669923,283863,1265225,276940,143885,25280.000000000004,36587.331139515896,17298.459573306493,37,38.31878232276564
6,California,2014,38802500,19257750,19544750,9145212,25656250,11679025,7098536,14851728,2142698,14990679,5445501,132960,1144693,94241,5340388,4971274,9130029,4598400,12923883,5111136,3022831,30336.000000000004,48875.361484846646,24589.634708655823,35,36.98082298820952
8,Colorado,2014,5355866,2691122,2664744,1247332,3586950,1570439,1002462,3686400,205396,1136022,157835,30622,131553,8038,314640,290384,1209774,339249,1884589,864972,498140,32358.4,46750.346567501365,26391.617623788497,36,37.187380154768626
9,Connecticut,2014,3596677,1752696,1843981,773218,2477864,1013446,778428,2466044,350507,540224,151838,5137,70953,11974,257446,233767,821938,245122,1292522,527190,413030,37586.304000000004,57324.60150153709,31830.981300384108,40,39.66672625871047
10,Delaware,2014,935614,454533,481081,204238,638829,266227,208961,594164,200072,82970,36433,3623,16666,1686,41992,38642,206635,69484,375705,114560,79080,33369.600000000006,45024.38894346515,23670.61087908817,39,39.26644107505873
11,District of Columbia,2014,658893,313104,345789,114195,464801,170706,106084,234901,314259,68232,25104,1578,13846,973,56897,50972,132500,46075,164073,114055,140598,46515.200000000004,66221.7282015384,39916.40479975474,33,36.585296853965666
12,Florida,2014,19893297,9724810,10168487,4052007,14041893,5218423,5046117,11058503,3087817,4789830,523491,38079,342232,53345,1847443,1683854,4035279,1796825,8404094,2451811,1389163,27302.4,39951.05145087664,19392.45564261836,41,40.989323489213476
13,Georgia,2014,10097343,4923770,5173573,2490299,6575976,3145003,1800745,5472395,3115397,923184,375457,14398,170985,25527,579145,532499,2444675,945756,3720815,1192632,716773,30336.000000000004,42197.32893412009,20766.81921979293,36,36.56937117021776
15,Hawaii,2014,1419561,715904,703657,307392,974204,392282,318977,325829,29225,142454,635879,1459,283583,1132,102106,90572,286963,83816,582598,203370,104420,34077.44,43283.197022542256,23223.051714864527,38,39.028372856115375
16,Idaho,2014,1634464,816697,817767,431337,1044780,526765,334941,1353164,8814,197864,25563,15242,32882,935,65629,58711,397358,103218,677999,178334,85229,25280.000000000004,36407.85738038032,18413.015921224818,35,36.89654223035809
17,Illinois,2014,12880580,6314962,6565618,2980762,8639907,3784059,2537840,8007982,1817142,2152630,659954,15278,210495,17099,867452,810702,3001121,1006461,4783366,1744608,1105472,32358.4,47113.065789984386,24905.00705582786,37,37.94835442192819
18,Indiana,2014,6596855,3245065,3351790,1582192,4344188,2005761,1336172,5294204,608448,425981,129905,12184,117300,8833,196744,175219,1530777,490924,2777935,684502,390827,29122.56,38408.24543084567,20035.175521991132,37,37.83197144700013
19,Iowa,2014,3107126,1545130,1561996,724668,2063072,927489,682491,2709085,105384,170887,69567,7783,43568,852,97076,83133,719689,161863,1326482,380440,194287,30336.000000000004,39942.16194910905,22548.566062708756,38,38.72854367669673
20,Kansas,2014,2904021,1439764,1464257,723985,1881073,904292,590399,2228458,163772,328505,72851,21401,86624,2410,124313,114125,695140,184197,1103630,377590,215656,30336.000000000004,41075.75317180163,22186.404603860927,36,37.37705856810264
21,Kentucky,2014,4413457,2179836,2233621,1014030,2968524,1285929,925230,3769494,342252,144671,56561,6276,89510,4693,103535,89451,963370,461143,1832218,394741,280422,26695.680000000004,36963.38583074419,18143.970831371058,38,38.46229882833344
22,Louisiana,2014,4649676,2270979,2378697,1114692,3063016,1410208,899366,2754108,1496424,222183,79746,23093,65266,8856,109327,100864,1058147,502671,1860270,460593,239482,29324.800000000003,41236.80458228334,20015.24646719092,36,37.23429524981956
23,Maine,2014,1330089,643863,686226,259566,957098,334837,340141,1245062,17353,16637,13920,6179,29662,1276,24150,20545,258518,74969,597998,186249,97882,28313.600000000002,38402.87134715286,21066.460940008677,44,41.839221285192195
24,Maryland,2014,5976407,2900663,3075744,1347272,4066007,1701726,1170504,3132899,1749324,555821,365748,10015,149070,13530,449346,404334,1325957,419327,2092145,849404,705131,40448.00000000001,54001.08225027444,29939.62365194794,38,38.219147892705436
25,Massachusetts,2014,6745408,3269953,3475455,1386772,4653266,1880304,1428499,4978918,438693,729196,412928,8039,135237,42397,504651,460534,1514814,484159,2244643,1085973,838491,38425.600000000006,54638.00236323501,31085.550371684203,39,39.288778973784844
26,Michigan,2014,9909877,4869083,5040794,2218195,6689388,2881412,2165542,7500921,1369427,476539,278224,49212,221511,14043,311646,270992,2245564,674140,4182571,1100170,732507,28313.600000000002,40266.21063064459,20308.823649138252,39,39.14382337944255
27,Minnesota,2014,5457173,2706522,2750651,1276029,3682844,1570405,1100948,4439115,308996,275639,255280,50653,123252,4238,217170,190753,1228444,272547,2159891,821584,428822,34380.8,46327.28178424192,26805.4924319416,37,38.20595187288363
28,Mississippi,2014,2994079,1458782,1535297,732061,1948335,933460,599955,1712889,1129553,79682,23766,10514,35660,2015,39686,36070,721156,336327,1204900,252074,155034,26088.960000000003,35611.544968919545,16168.796747297583,36,37.4348859866423
29,Missouri,2014,6063589,2971921,3091668,1392278,4076683,1765126,1308810,4846758,701009,231619,109842,23567,137174,13620,116745,109273,1352959,457574,2496728,696328,426053,29122.56,39578.65768575887,20522.06867560925,38,38.64240419329212
30,Montana,2014,1023579,511696,511883,224105,694414,292238,241984,888593,5595,34027,8705,69002,17657,0,12105,10891,213042,54507,444454,128527,66926,25280.000000000004,35754.62994215156,19408.642377002267,39,39.64519299438539
31,Nebraska,2014,1881503,939171,942332,468566,1224909,576995,378336,1514562,86106,190154,36349,12510,39859,1963,76598,67152,447314,116482,738072,254338,116017,30336.000000000004,38783.1644932973,22403.500614007422,36,37.418601511663816
32,Nevada,2014,2839099,1426970,1412129,660829,1919460,818912,566938,1457284,230703,789498,233398,25231,96627,6358,293487,273380,602386,280529,1198442,290619,149870,30336.000000000004,39820.54838256062,20252.13234542593,37,37.79461195259482
33,New Hampshire,2014,1326813,654661,672152,268072,929768,361605,304239,1209777,15617,41464,33901,1386,23673,995,35352,31621,280669,68799,533080,204860,123029,35392,47650.622427761475,28079.054483991946,42,40.4509881950207
