fips,state,year,poptotal,malepop,femalepop,popu18,pop25o,pop324,pop60o,whitepop,blackpop,hisppop,asianpop,amindpop,multipop,otherpop,noncit,noncit18o,enroll,nohs,hs,bacc,grad,incmed,incmean,incpc,medage,meanage
34,New Jersey,2014,8938175,4369794,4568381,2011305,6128659,2502012,1843847,5058858,1143314,1729745,820402,10212,135943,39701,879211,813351,2030838,671349,3175893,1410629,870788,38425.600000000006,56659.42472736266,30388.726913127393,39,38.91053598749186
35,New Mexico,2014,2085572,1030483,1055089,497539,1370828,632701,449698,807487,36930,993908,32156,185692,24457,4942,136047,123056,470005,211891,794468,211470,152999,25280.000000000004,36272.770977628985,17317.942710129213,37,37.99462593475555
36,New York,2014,19746227,9581384,10164843,4218611,13546372,5524551,4057106,11134080,2846563,3668399,1592426,46301,363368,95090,2027905,1873336,4311058,1918562,6929103,2665394,2033313,34380.8,52051.51006382295,27253.69709123575,38,38.69776671766207
37,North Carolina,2014,9943964,4837940,5106024,2289345,6666380,2930417,2039770,6362027,2131428,890446,247134,103119,190032,19778,496782,453524,2235713,907859,3846502,1239041,672978,28313.600000000002,39850.97317209274,20147.925171846884,38,38.207975209886115
38,North Dakota,2014,739482,377155,362327,167227,477476,228793,148243,642423,15515,17878,7943,45293,10345,85,17833,14841,157864,34017,320518,91122,31819,30336.000000000004,43184.98541667591,26342.808532580377,34,37.35287944804606
39,Ohio,2014,11594163,5679686,5914477,2634140,7857879,3337267,2524698,9277227,1405897,394568,221671,16705,262077,16018,242783,217375,2566710,843609,4928388,1304056,781826,30336.000000000004,40100.739271171806,21057.873958072458,39,39.055136192237434
40,Oklahoma,2014,3878051,1916369,1961682,950023,2535962,1186857,784845,2597611,282216,378221,80927,280094,256682,2300,150014,135253,893516,316675,1607023,397787,214477,28414.72,38848.64869751503,19526.457942841083,36,37.408738306948514
41,Oregon,2014,3970239,1961405,2008834,859220,2748061,1089467,904332,3051823,66776,496179,170155,34250,144254,6802,227272,208590,820662,284272,1623256,523453,317080,27302.4,39743.63705130072,20653.439756192412,39,39.33856576392505
42,Pennsylvania,2014,12787209,6259208,6528001,2688940,8874813,3490543,2957184,9939480,1369092,833619,399374,15380,207488,22776,388663,352687,2684663,931813,5385981,1553738,1003281,30639.360000000004,43553.499404507806,22952.085571323158,40,40.069008725829065
44,Rhode Island,2014,1055173,511893,543280,211655,725506,300328,235854,781096,57976,148206,34902,4405,23073,5515,66007,61175,236043,105542,401065,130342,88557,30336.000000000004,44487.93398119691,24379.40966963181,39,39.8087820670165
45,South Carolina,2014,4832482,2352536,2479946,1080739,3260970,1408645,1068934,3081026,1319541,257759,68718,13027,86197,6214,138103,128428,1056819,455681,1950789,538289,316211,26291.200000000004,37341.09124965815,18594.361144169976,38,38.75691145874935
46,South Dakota,2014,853175,428862,424313,209494,555559,259616,179591,709243,13647,29285,9823,69004,22173,0,12450,10746,193907,47302,360796,110284,37177,28920.320000000003,38056.12858688989,21888.620363351485,36,37.759034195798044
47,Tennessee,2014,6549352,3191229,3358123,1493436,4421745,1888528,1385901,4882501,1096835,321898,103181,16010,123244,5683,208805,185641,1407620,628450,2668396,723120,401779,26695.680000000004,38834.10838472154,19403.524684077205,38,38.4987435398189
48,Texas,2014,26956958,13379903,13577055,7108828,17099312,8715016,4454022,11715516,3148942,10404856,1163166,58175,435561,30742,2932128,2678776,6625330,3034479,9297843,3114155,1652835,30336.000000000004,44435.91810946582,22651.62688829326,34,35.41794649084663
49,Utah,2014,2942902,1478762,1464140,905149,1708287,1084631,427737,2331202,31286,396840,88772,29676,60418,4708,155784,140419,838348,145721,1029542,356174,176850,27302.4,40272.619602739665,20692.06500720609,30,32.72986936024374
50,Vermont,2014,626562,306643,319919,122074,438609,169062,150308,583504,6297,9872,12936,3402,8936,1615,12124,11123,130840,34906,245069,96261,62373,30336.000000000004,39581.65778918209,23040.747683742073,42,40.84532895387847
51,Virginia,2014,8326289,4095103,4231186,1867159,5622289,2408098,1630902,5243870,1576765,732435,511663,16532,222387,22637,523006,465735,1859140,642809,2919879,1155024,904577,35392,50205.464766036006,27655.60017325097,37,37.972594753797296
53,Washington,2014,7061530,3532012,3529518,1600541,4787375,2012494,1423227,4960258,237278,858440,591331,78392,325284,10547,500444,453698,1499444,457610,2738300,1018017,573448,33369.600000000006,47871.63260088688,25521.969917445997,37,38.08983024925193
54,West Virginia,2014,1850326,914321,936005,383010,1295633,495428,460825,1712971,69640,23024,11653,3438,28075,1525,14458,11862,371747,186538,858494,151602,98999,26291.200000000004,36266.230966272124,16544.479042431227,41,40.69423766406568
55,Wisconsin,2014,5757564,2857577,2899987,1296910,3896021,1659031,1243948,4730482,349088,369688,152928,43170,108892,3316,148314,134500,1279187,332084,2453036,732155,378746,30336.000000000004,39840.36603039514,22297.290062022064,39,39.0390760745343
56,Wyoming,2014,584153,296430,287723,137343,389771,173469,119085,490803,6801,57227,6610,11649,11041,22,15582,14094,128996,30557,258354,65881,34979,30336.000000000004,41777.41354135438,24258.488852699895,36,37.66569717180259
