fips,state,year,poptotal,malepop,femalepop,popu18,pop25o,pop324,pop60o,whitepop,blackpop,hisppop,asianpop,amindpop,multipop,otherpop,noncit,noncit18o,enroll,nohs,hs,bacc,grad,incmed,incmean,incpc,medage,meanage
40,Oklahoma,2012,3814820,1889255,1925565,936722,2496297,1166508,745688,2586255,269919,356077,72677,278392,247763,3737,146814,131785,867933,333441,1571445,385453,205958,27727.920000000002,38199.66580107562,19205.577494345318,36,37.26110511111927
41,Oregon,2012,3899353,1937639,1961714,860266,2675137,1093104,832667,3027891,65514,473115,163183,41303,123251,5096,218728,200373,836956,263747,1604474,498376,308540,27307.8,39632.864497982635,20347.09797153874,38,38.905506887937555
42,Pennsylvania,2012,12763536,6236352,6527184,2732366,8760975,3587517,2829554,10042967,1342894,776832,365596,13567,210985,10695,370710,329468,2775943,969282,5331189,1502302,958202,31509,43361.09354773368,22766.094514334218,40,39.74300225266728
44,Rhode Island,2012,1050292,506587,543705,217152,710850,305764,222129,792348,50826,138867,32883,2974,22442,9952,70847,63338,238647,100714,388005,129072,93059,31509,43811.227052828006,24056.484122145175,39,39.290297364923276
45,South Carolina,2012,4723723,2296288,2427435,1080796,3154584,1403360,984380,3015315,1295284,247336,60933,13917,85771,5167,140312,128922,1041343,476812,1879235,513690,284847,27307.8,37240.6983690107,18151.781228925196,38,38.20248858792101
46,South Dakota,2012,833354,416849,416505,204137,542020,257330,167803,698213,15904,23402,8090,73835,12557,1353,12904,10622,196126,50768,346800,99515,44937,27412.83,36174.269870645505,20711.038636008587,36,37.719034167952636
47,Tennessee,2012,6456243,3145360,3310883,1492012,4337792,1892202,1303613,4842904,1085556,306710,97196,13146,105491,5240,181314,160128,1432480,646680,2625847,684857,380408,27307.8,38453.32220037575,19043.753217591253,38,38.14586579222622
48,Texas,2012,26059203,12942678,13116525,6973857,16395640,8547225,4125615,11558551,3024177,9959855,1056558,60238,369009,30815,2795035,2537692,6552753,3029238,8947806,2932222,1486374,29408.4,43520.8777897194,21944.60174915822,33,35.047904957031875
49,Utah,2012,2855287,1439630,1415657,885518,1640883,1061922,384046,2278093,26145,379248,85727,24579,58197,3298,152014,135365,813476,142549,994581,334398,169355,27307.8,39387.83291531983,20198.947536606935,29,32.261680874812235
50,Vermont,2012,626011,309774,316237,122488,437024,174496,144049,588265,5981,10662,9695,2092,9316,0,9894,8741,134675,33610,249865,95989,57560,29408.4,38426.30148886482,23056.117454176525,42,40.63333711388458
51,Virginia,2012,8185867,4009498,4176369,1855004,5505038,2387326,1524852,5236261,1552482,687008,473414,15957,210011,10734,494563,448068,1846292,653878,2883628,1137936,829596,34659.9,50560.93571927051,27743.28714098795,37,37.63271501967965
53,Washington,2012,6897012,3438532,3458480,1580454,4656057,1989907,1333080,4931892,244540,807998,530423,79600,296476,6083,483512,436573,1479064,437794,2736393,958714,523156,33609.6,47324.9761568854,25055.987506564277,37,37.79094787713868
54,West Virginia,2012,1855413,913069,942344,385073,1295017,498922,445236,1722266,63225,23764,11706,2044,31410,998,12712,11433,374908,208190,850853,143199,92775,27307.8,37610.13168365657,17375.887045606018,41,40.40638661042043
55,Wisconsin,2012,5726398,2840795,2885603,1318588,3856083,1671503,1171038,4739503,346606,353159,139459,49207,96351,2113,150743,136026,1313071,351959,2444454,692010,367660,30458.7,39572.39786267869,21921.79151889877,39,38.56705401894873
56,Wyoming,2012,576412,292001,284411,136250,381940,171950,111032,487559,5089,54253,5216,9950,14345,0,10600,9276,134307,32329,252661,65314,31636,29408.4,39704.54869719183,23068.30765002637,37,37.52570036709853
