fips,state,year,poptotal,malepop,femalepop,popu18,pop25o,pop324,pop60o,whitepop,blackpop,hisppop,asianpop,amindpop,multipop,otherpop,noncit,noncit18o,enroll,nohs,hs,bacc,grad,incmed,incmean,incpc,medage,meanage
1,Alabama,2008,4661900,2258931,2402969,1123670,3072572,1408153,887771,3183788,1222202,128586,46143,22780,55022,3379,90863,78105,1066244,553752,1839658,441709,237453,27537.499999999996,38176.04395485519,19492.67060130365,37,37.475664214161604
2,Alaska,2008,686293,357554,328739,179234,425305,228451,79013,453479,21652,37420,36743,89421,45985,1593,17840,16644,163032,34264,275495,74640,40906,33045,46752.00934594354,28443.311141119022,32,33.8542109565448
4,Arizona,2008,6500180,3258698,3241482,1723615,4186386,1998264,1176631,3772865,225118,1964625,157931,269670,100176,9795,656920,578949,1468247,682030,2447661,672054,384641,31502.899999999998,42659.21106696959,21693.28534427516,35,36.095617044451075
5,Arkansas,2008,2855390,1398559,1456831,699176,1873421,869678,569885,2156502,443661,155309,31690,15874,50119,2235,69557,61579,645505,335797,1181576,236079,119969,25775.1,34985.94153149885,17721.543742391055,37,37.555212422821405
6,California,2008,36756666,18383499,18373167,9348981,23540945,11595940,5742817,15452381,2191268,13434896,4601761,158668,805226,112466,5477903,4988564,9003943,4645794,11928449,4430945,2535757,33045,49821.94545543125,26067.44532074168,34,35.57102012462175
8,Colorado,2008,4939456,2487828,2451628,1206433,3264004,1467102,754394,3500684,171260,993198,133977,32809,98273,9255,339051,297322,1118415,366468,1736064,751924,409548,33045,46100.267233774604,27155.438751625683,35,35.91820374551368
9,Connecticut,2008,3501252,1709294,1791958,812037,2359593,1017319,666519,2578281,314182,424191,119313,6293,47930,11062,253885,231466,826485,269230,1248370,485842,356151,39654,58180.53703476347,33198.460646320804,39,38.33300573623379
10,Delaware,2008,873092,422658,450434,207359,576866,260404,171384,591642,175526,62506,24285,2755,15406,972,44159,37023,201134,76247,347074,90564,62981,33045,45247.89963944001,25168.98067438368,37,37.59351477278454
11,District of Columbia,2008,591833,279836,311997,111985,403076,166410,99756,194484,312228,51260,19389,1717,10640,2115,52386,50572,127303,58291,150791,84730,109264,44060,64080.396199225506,38038.1054575953,35,36.99935285798528
12,Florida,2008,18328340,8996694,9331646,4008967,12706706,4942568,4210088,11011540,2721974,3846267,421372,37220,237443,52524,1798991,1625514,3773557,1877426,7551699,2132265,1145316,29740.499999999996,42044.817244189835,21642.0465129255,40,39.86001296353079
13,Georgia,2008,9685744,4767674,4918070,2548740,6193117,3060884,1426797,5620121,2848804,780408,277831,16377,111918,30285,605494,531322,2331582,992857,3502275,1097366,600619,31943.499999999996,44036.29368677359,23390.75759671363,34,35.032638070962854
15,Hawaii,2008,1288198,649535,638663,285838,865547,373696,258932,316563,32119,108663,588436,1772,239757,888,106604,92727,265415,83146,529094,167343,85964,34697.25,44751.890810481316,25345.860110695325,38,38.294951552478736
16,Idaho,2008,1523816,766322,757494,413541,958338,487174,252920,1291988,8513,159257,18460,14022,31131,445,59693,51570,357152,114087,613029,160696,70526,27537.499999999996,36505.663382721694,19947.451366620706,34,35.42132186563207
17,Illinois,2008,12901564,6353690,6547874,3179772,8395661,3977036,2176196,8314807,1852585,1961843,562231,14673,159657,35768,992979,903051,3140814,1185074,4710362,1562287,937938,33045,46903.77398144126,25715.338020325325,36,36.47793097022966
18,Indiana,2008,6376792,3136083,3240709,1582720,4178102,1935606,1135339,5301285,544220,322148,88562,13472,97791,9314,163264,144509,1479020,577887,2638413,622518,339284,30070.949999999997,39190.95397310574,21505.723045083407,36,36.9151510665551
19,Iowa,2008,3002557,1480465,1522092,704673,1972195,909765,592815,2702312,82197,124030,48024,5018,37150,3826,70470,60259,698722,192315,1302388,331071,146421,28638.999999999996,37079.63402069965,22061.794606807463,38,38.12657711410641
20,Kansas,2008,2802134,1389340,1412794,691285,1813652,869707,506310,2244209,152255,268964,58846,17230,57988,2642,109411,98958,666865,193015,1084242,358963,177432,29740.499999999996,40212.200672183164,23437.66057971692,36,36.921355295642535
21,Kentucky,2008,4269245,2086782,2182463,1004459,2879690,1219454,790521,3745820,317854,100366,42959,5487,52823,3936,77006,66675,918646,540065,1780821,336645,222159,27537.499999999996,37328.49587779163,19032.239913371803,37,37.6251304387544
22,Louisiana,2008,4410796,2139611,2271185,1099732,2841324,1386710,773192,2728539,1391721,152781,64429,21581,44231,7514,71584,64568,1047221,539199,1725047,396757,180321,27757.8,39946.62453918041,20493.624466079025,36,36.47805634175782
23,Maine,2008,1316456,640631,675825,275720,928427,343466,277993,1254265,10467,12700,10410,6730,21731,153,18354,15018,261415,93726,608533,145029,81139,27537.499999999996,35691.5540874645,20229.17648899887,41,40.136869747260825
24,Maryland,2008,5633597,2728040,2905557,1334850,3743656,1669990,966968,3233157,1612782,372650,281921,12386,104982,15719,386125,344927,1282310,449823,1967872,746443,579518,40755.5,53882.37968792476,31177.32029942956,37,37.133563689415475
25,Massachusetts,2008,6497967,3152202,3345765,1434752,4387755,1880029,1203590,5107143,368353,556573,318794,10146,86333,50625,482541,437684,1508426,497546,2211916,966030,712263,38552.5,52895.481676866475,30829.363463749352,38,38.090279929091665
26,Michigan,2008,10003422,4918459,5084963,2395234,6618476,3008694,1808530,7754856,1368277,408695,224892,47706,187569,11427,290969,254842,2399790,775541,4198440,1018491,626004,29630.35,40976.82292581965,21414.38383126344,37,37.520391422055376
