year,state,statefip,poptotal,pop16o,popu18,pop25o,pop324,pop60o,popnc,popnc18o,pophh,popinst,popogq,popmetro,malepop,femalepop,whitepop,blackpop,hisppop,aapipop,aianpop,multipop,otherpop,enroll,nohs,hsplus,bacc,grad,empop,unempop,cnoninst,hcnone,hcpub,hcpvt,earnmed,earnpc,incmed,incpc
2008,Texas,48,24326974,18316402,6732247,15128848,7992369,3534990,2645208,2358208,23729772,384712,212490,20133367,12147252,12179722,11532911,2737925,8815582,848295,71368,279720,2089313,6033609,10255064,10077529,2742648,1251733,11554748,633647,17726070,5741944,6022952,12562078,30137.4,43855.84969422119,27458.52,42157.74499346332
2012,Texas,48,26059203,19828640,6973857,16395640,8547225,4125615,2795035,2537692,25472904,376995,209304,21793663,12942678,13116525,11558551,3024177,9959855,1056558,60238,369009,1589631,6552753,10450805,10978167,3127898,1502333,11835161,1015062,19248141,5934548,7407545,12717110,29259.999999999996,43301.26372489457,26125,40829.392420853554
2016,Texas,48,27862596,21369189,7286776,17791466,8874477,4800790,2972312,2718680,27254392,382029,226175,23505466,13832319,14030277,11841697,3273703,10885507,1294277,66228,461936,1624392,6777755,10707492,11766196,3588287,1800621,13025480,751392,20769567,4779542,8148262,14934792,30000,46297.496795015824,28000,43813.59086396363
2008,Utah,49,2736424,1975467,845400,1550412,1021565,342038,155168,134741,2692055,20638,23731,2075971,1379915,1356509,2237478,27848,323938,74931,27496,43212,55978,762966,1034674,1230256,326100,145394,1314327,57381,1931461,403013,501109,1832302,27905.000000000004,39617.10632662528,26788.800000000003,39197.396274234496
2012,Utah,49,2855287,2058047,885518,1640883,1061922,384046,152014,135365,2808879,22244,24164,2301610,1439630,1415657,2278093,26145,379248,85727,24579,58197,124279,813476,1069311,1258700,357210,170066,1319139,97439,2013568,404567,601120,1849600,27169.999999999996,39189.07492764851,26125,38476.11958989114
2016,Utah,49,3051217,2227886,921098,1783485,1117097,456659,151960,141823,3005441,20979,24797,2464183,1539485,1511732,2400503,30598,420634,99862,23380,72400,156468,865645,1101235,1349339,400050,200593,1449242,65511,2183367,267880,673325,2110012,30000,42119.87684584489,27700,41435.791838247176
2008,Vermont,50,621270,512023,128054,430093,171044,124857,10301,9354,599698,5687,15885,0,305281,315989,590028,3534,6651,5935,1719,12287,3887,134736,173145,298951,93441,55733,338104,18483,490625,51543,215986,353741,29021.2,39266.00886584644,28016.620000000003,40472.7713179102
2012,Vermont,50,626011,520070,122488,437024,174496,144049,9894,8741,600682,5571,19758,213384,309774,316237,588265,5981,10662,9695,2092,9316,776,134675,161716,304754,101835,57706,329955,22273,495007,40963,244396,340652,29259.999999999996,38232.395559234246,27169.999999999996,37854.21872458374
2016,Vermont,50,624594,517954,119999,439459,169608,162799,9043,8512,599354,5481,19759,217768,308172,316422,581601,5629,12188,7721,3110,13529,4997,129242,160125,299164,99723,65582,328279,12451,492941,22124,267387,335083,32000,42141.53274897857,29800,40940.32104008945
2008,Virginia,51,7769089,6149596,1827916,5158189,2299821,1343660,429295,391825,7519452,108818,140819,6052313,3822255,3946834,5184933,1514048,528002,375504,18713,132390,181498,1761249,2645528,3311098,1104860,707603,4008110,200418,5901651,889284,1755295,5124510,35718.4,50630.453126855886,33486,49188.32564203448
2012,Virginia,51,8185867,6542219,1855004,5505038,2387326,1524852,494563,448068,7942331,101644,141892,5869447,4009498,4176369,5236261,1552482,687008,473414,15957,210011,184469,1846292,2591278,3533010,1223202,838377,4056319,296945,6300405,1029045,2020740,5136082,34485,50305.796274052824,31349.999999999996,47971.08440480486
2016,Virginia,51,8411808,6764072,1864204,5724472,2392822,1736845,491729,444982,8170182,97750,143876,6083770,4136015,4275793,5235781,1575450,760097,533169,18647,264244,223758,1848137,2564530,3553218,1346645,947415,4232725,210760,6523663,752460,2313359,5345989,35500,52444.747444253415,32000,50130.84311868457
2008,Washington,53,6549224,5182888,1547510,4394303,1893258,1126392,457909,399331,6405562,57075,86587,5383649,3267465,3281759,4922150,215849,642959,450829,82720,220552,257511,1425065,2100031,3039522,935395,474276,3282052,184287,5040744,830351,1712369,4006504,34825.44,47573.084276527996,32927.9,46151.11229169594
2012,Washington,53,6897012,5491780,1580454,4656057,1989907,1333080,483512,436573,6755601,57677,83734,5764098,3438532,3458480,4931892,244540,807998,530423,79600,296476,242188,1479064,2112800,3235777,1020862,527573,3260660,297065,5353996,952350,1987066,3957596,33440,47086.165937299105,30304.999999999996,44424.30435961452
2016,Washington,53,7288000,5842135,1624757,5001679,2021677,1538410,535901,485252,7145410,57786,84804,6128990,3636099,3651901,5055730,255873,905438,628204,80234,352970,354538,1507773,2183675,3278106,1174408,651811,3534210,201159,5700450,439101,2631391,4217508,35400,51256.76902736716,32000,48522.21865500279
2008,West Virginia,54,1814468,1483236,378509,1270892,487340,395723,12931,10532,1768914,24425,21129,0,888168,926300,1692929,61702,21400,9359,2398,25668,2422,364457,628677,954765,145322,85704,797595,43554,1438250,267314,634226,912928,26788.800000000003,35550.85757919564,22435.620000000003,32346.339072661158
2012,West Virginia,54,1855413,1513081,385073,1295017,498922,445236,12712,11433,1805972,28388,21053,337409,913069,942344,1722266,63225,23764,11706,2044,31410,3274,374908,612592,993395,155598,93828,758177,65033,1464548,271956,669221,914236,27169.999999999996,37420.34429155585,21945,33245.14116881197
2016,West Virginia,54,1831102,1500633,376524,1291927,475686,476817,18409,17159,1783075,27698,20329,335467,905297,925805,1684552,69754,26154,14480,2446,29152,8127,353284,573817,971356,173912,112017,740469,64611,1453210,99002,889361,842739,27800,37782.7497742649,23400,34445.552668251745
2008,Wisconsin,55,5627968,4474933,1307645,3754961,1662035,1027116,146490,130209,5464836,81859,81273,3699083,2797950,2830018,4780021,315466,286382,120465,39966,79194,74698,1287540,1757811,2863418,682536,324203,2976908,156895,4313191,501080,1528374,3598514,31811.7,40664.51011595306,29356.06,39901.036480319795
2012,Wisconsin,55,5726398,4562135,1318588,3856083,1671503,1171038,150743,136026,5578090,72407,75901,3714514,2840795,2885603,4739503,346606,353159,139459,49207,96351,94329,1313071,1730434,2885970,739521,370473,2838216,225529,4415176,538074,1785810,3402514,30304.999999999996,39372.70852756283,27174.179999999997,37872.651028875116
2016,Wisconsin,55,5778709,4647867,1282032,3934559,1640235,1306216,163536,145076,5632449,68762,77498,3772300,2865240,2913469,4717930,354144,388055,158567,47798,108106,129559,1268429,1643740,2900055,831398,403516,2970806,127477,4502167,314340,1920678,3543691,32000,42693.406468571186,30000,41193.35664925125
2008,Wyoming,56,532668,418163,127953,347559,161594,92966,8402,8003,518032,6259,8377,0,269288,263380,459892,5263,43385,3369,9062,11211,6588,115169,163679,288550,54358,26081,285553,9552,403788,75450,133986,323232,31253.600000000002,42172.22324693812,29021.2,41860.29286278457
2012,Wyoming,56,576412,454207,136250,381940,171950,111032,10600,9276,562613,6762,7037,0,292001,284411,487559,5089,54253,5216,9950,14345,9723,134307,175319,298987,70081,32025,293845,18155,440516,92411,153348,330653,29259.999999999996,39504.19250553695,27169.999999999996,38802.22360625459
2016,Wyoming,56,585501,459800,140140,390977,170570,129432,12463,11737,571211,7083,7207,0,296804,288697,493453,4539,56875,5855,13684,11095,5534,132207,174466,303332,70835,36868,285760,17672,445765,65489,164674,355338,30000,41008.1366576114,28800,39883.80304370317
