year,state,statefip,poptotal,pop16o,popu18,pop25o,pop324,pop60o,popnc,popnc18o,pophh,popinst,popogq,popmetro,malepop,femalepop,whitepop,blackpop,hisppop,aapipop,aianpop,multipop,otherpop,enroll,nohs,hsplus,bacc,grad,empop,unempop,cnoninst,hcnone,hcpub,hcpvt,earnmed,earnpc,incmed,incpc
2012,Maryland,24,5884563,4696782,1342323,3975401,1698881,1104710,445602,404899,5743098,67798,73667,5408686,2847314,3037249,3165351,1695516,510448,338548,13448,150770,196218,1315171,1828113,2512345,871828,672277,2983224,265172,4556059,610018,1639066,3635479,40755,54214.19251617745,36261.5,51599.60554104885
2016,Maryland,24,6016447,4818836,1346368,4125225,1681001,1245040,455374,408082,5875912,65928,74607,5540240,2909870,3106577,3091715,1768249,586557,374981,9735,170107,230893,1313122,1809249,2513953,933413,759832,3109090,173387,4679193,379831,1918587,3718029,40000,56086.68370834875,37000,53590.880587760585
2008,Massachusetts,25,6497967,5237097,1434752,4387755,1880029,1203590,482541,437684,6254371,92531,151065,5908939,3152202,3345765,5107143,368353,556573,318794,10146,86333,258591,1508426,2003552,2711455,1064721,718239,3392741,212997,4994979,268526,1895341,4334100,39067,53601.395050130144,33486,50814.8551961259
2012,Massachusetts,25,6646144,5413466,1401515,4556265,1885523,1350818,488931,442749,6398214,75284,172646,5715992,3213719,3432425,4998767,424836,673731,385522,8134,112177,271776,1541815,1935488,2809441,1111848,789367,3329497,318557,5167489,265076,2274786,4106282,36575,52903.923885997436,31349.999999999996,49126.77347779664
2016,Massachusetts,25,6811885,5605869,1377484,4729427,1873225,1516468,531504,485644,6559299,70242,182344,5855584,3309730,3502155,4929562,461720,780931,439489,8792,136391,270041,1518075,1896035,2767301,1239739,908810,3570231,198764,5355895,172764,2539825,4099296,40000,56270.36112114413,35000,53004.305110270965
2008,Michigan,26,10003422,7910922,2395234,6618476,3008694,1808530,290969,254842,9745075,130426,127921,7798667,4918459,5084963,7754856,1368277,408695,224892,47706,187569,142266,2399790,3318019,4960466,1094734,630203,4584521,476933,7656262,1119986,2993868,5889568,30025.780000000002,41523.67657721278,27012.04,39341.07251221655
2012,Michigan,26,9883360,7898633,2264117,6620450,2928822,2057519,297225,263065,9656732,107427,119201,7201216,4851911,5031449,7527135,1383113,452141,240185,46368,221553,100485,2297738,3070772,4987872,1149574,675142,4264115,564591,7674173,1173521,3369067,5340772,27169.999999999996,39225.52742381221,25080,36727.683379352304
2016,Michigan,26,9928300,8012195,2185729,6769613,2827989,2269488,324143,285779,9697834,106313,124153,7264084,4880303,5047997,7473674,1356326,491941,293266,42829,254765,123848,2201824,2945878,4981467,1243518,757437,4611522,303604,7783680,554154,3856616,5517530,30000,42899.05254459351,26800,40056.508844899734
2008,Minnesota,27,5220393,4118652,1254350,3447676,1562449,906117,196106,168652,5076803,65732,77858,3632844,2596333,2624060,4438639,243678,217551,180949,53516,78518,59460,1206387,1607988,2459799,795840,356766,2820486,150332,3976749,442046,1279814,3498533,33486,46432.96036918953,32816.28,45303.946348201986
2012,Minnesota,27,5379139,4245104,1274719,3613615,1559912,1034574,210432,182817,5242594,56351,80194,3447372,2672520,2706619,4426818,279754,262730,228856,55851,120959,74644,1234670,1608579,2528178,855627,386755,2796212,192177,4109965,450294,1513756,3415089,33440,44996.33482433414,31349.999999999996,43101.553106307896
2016,Minnesota,27,5519952,4370454,1283431,3739904,1580790,1177063,214849,193466,5387409,55149,77394,3578717,2743121,2776831,4444642,318873,283804,268077,58774,136377,118589,1247000,1610769,2555703,917620,435860,2931212,115013,4241979,239934,1831715,3448303,35500,48448.910232088645,33300,46809.46819658558
2008,Mississippi,28,2938618,2268494,762383,1862942,949064,513333,41818,38050,2838766,55920,43932,1072538,1427843,1510775,1718147,1102220,56632,23497,12336,23594,19219,738635,1189651,1368932,250183,129852,1278629,105550,2170338,518712,974417,1445489,27458.52,36418.77653292475,22324,33443.53738485498
2012,Mississippi,28,2984926,2318525,747427,1909590,959543,571241,36277,33628,2892318,55627,36981,1020704,1441519,1543407,1717810,1124689,76139,23808,11835,28734,23058,743362,1136713,1439298,259267,149648,1204959,156787,2226977,528287,1121164,1335475,26125,35265.23020103792,20900,31769.43557538796
2016,Mississippi,28,2988726,2349115,722717,1956643,917143,632169,36214,33661,2895666,53085,39975,1045625,1439765,1548961,1697517,1132301,87130,27373,12307,29787,31893,712991,1079218,1463780,279419,166309,1239548,100818,2257059,375553,1174653,1438520,28000,37753.62104297338,22200,34336.24103886733
2008,Missouri,29,5911605,4666491,1411624,3919539,1755002,1107673,131287,111956,5742733,94671,74201,4055522,2885586,3026019,4864905,651097,182059,86760,18762,103235,50167,1335592,2038937,2832159,673999,366510,2895425,194766,4498957,745768,1701022,3464815,29021.2,40100.062392192485,26788.800000000003,38189.402618713255
2012,Missouri,29,6021988,4778269,1400984,4022517,1784762,1239564,131920,117826,5847778,93331,80879,4130950,2950923,3071065,4851605,692714,217948,104751,23913,121982,77467,1355609,1965721,2956484,708202,391581,2780047,256011,4608039,848869,1887011,3286108,28214.999999999996,38207.33454340094,25080,35680.85671462793
2016,Missouri,29,6093000,4865387,1389424,4121639,1753196,1361688,130373,119018,5917603,94365,81032,4208409,2999650,3093350,4851442,698948,243834,124425,26144,136125,73778,1349943,1889946,2973182,787146,442726,2919918,147420,4691066,565254,1937235,3590511,30000,41787.91679654927,27000,39504.80452154582
2008,Montana,30,967440,769470,227279,636598,294255,186921,9370,8691,940844,13143,13453,142344,481261,486179,848034,3357,31093,5803,60333,17135,8872,206256,296816,488593,127990,54041,479222,25569,743071,173016,256279,538145,26788.800000000003,36795.16702033032,25784.22,36183.303204714495
2012,Montana,30,1005141,810164,219888,687668,282838,231014,7097,6175,976286,12007,16848,103875,501429,503712,877347,2531,30279,6273,67110,21297,5230,208986,284282,515687,140601,64571,481039,39036,781811,184178,320566,500397,25498,34455.66807627725,24557.5,34565.924321577324
2016,Montana,30,1042520,839114,228642,710746,297794,259350,11730,10998,1013648,11996,16876,106618,524227,518293,901468,2755,36696,9147,64316,28081,3321,216492,293640,517556,160683,70641,503181,26150,811045,87121,403499,551900,26500,37679.077963207026,25800,37850.6097912559
2008,Nebraska,31,1783432,1381809,455198,1151491,555297,322077,67087,56871,1730439,26472,26521,927386,883046,900386,1491377,75271,147968,31729,12054,24112,48033,442286,585847,864695,235191,97699,961500,38416,1329510,186181,438669,1158582,29021.2,37515.839390961715,27905.000000000004,37321.07068815116
2012,Nebraska,31,1855525,1438468,465331,1209545,567164,361126,79539,66871,1804311,23459,27755,990306,917925,937600,1508923,86383,178793,38313,13873,27505,38893,448565,594741,882972,262529,115283,965372,51946,1387993,205292,494955,1155278,30304.999999999996,38955.874084486735,28110.499999999996,38311.32624547541
2016,Nebraska,31,1907116,1483011,471820,1246623,582813,405226,91114,79576,1854762,23792,28562,1044168,950143,956973,1521029,86366,201976,45156,12813,38781,34297,451524,606198,879389,287061,134468,991764,38502,1430981,166403,534439,1206274,30000,42056.712902726926,30000,41400.8045764143
2008,Nevada,32,2600167,2006265,667980,1713150,769081,434921,316037,277078,2566803,22173,11191,2276883,1324343,1275824,1469866,189722,672393,165967,28778,67181,106678,554855,1000382,1212323,268408,119054,1285955,101110,1973206,553287,527950,1518930,33486,44849.8661179216,32034.940000000002,43887.44774283147
2012,Nevada,32,2758931,2167983,663964,1842577,815025,512815,295592,271024,2722648,25936,10347,2430953,1394534,1364397,1456484,219992,752505,221616,25171,79173,235419,588425,982526,1344749,289378,142278,1250011,166785,2132037,611695,707131,1440105,31349.999999999996,40029.48628675847,27169.999999999996,39088.425146235524
2016,Nevada,32,2940058,2341298,676543,2007471,826517,622096,307365,287482,2902138,27742,10178,2609195,1474295,1465763,1463777,250522,836940,257272,26386,99129,275569,609766,996795,1460392,318029,164842,1383986,98154,2303641,332518,1012968,1594572,30000,42409.90626438271,28000,40724.29389273648
2008,New Hampshire,33,1315809,1058188,294454,902372,367028,247817,29053,26725,1277158,14734,23917,461694,647416,668393,1221613,9449,39123,27078,2354,14996,9365,289982,388823,615805,204358,106823,716140,34489,1019611,140456,304321,871032,35718.4,48080.923817199735,33486,46317.92109628389
2012,New Hampshire,33,1320718,1081511,273099,922311,360632,283694,37405,32150,1280614,13112,26992,543756,646909,673809,1211429,14800,40132,29479,3216,19326,7664,285441,360319,622480,213579,124340,694543,45732,1041824,145239,360914,814565,34798.5,47062.28044937519,31349.999999999996,44705.816079628064
2016,New Hampshire,33,1334689,1108258,260834,948446,347835,320713,35180,30061,1292293,15582,26814,544783,667334,667355,1209570,15938,47466,34379,1461,24635,9646,275000,338476,627787,230848,137578,727345,29772,1066031,85278,419134,830277,35000,48761.25330249921,33000,47240.518531054
2008,New Jersey,34,8682661,6872239,2047060,5854547,2496829,1590716,866853,779056,8486322,111053,85286,8682661,4251947,4430714,5342151,1137010,1424069,641742,10601,96601,493791,2029310,2875162,3679912,1365248,762339,4392467,282918,6677720,1064194,2091522,5526945,41411.020000000004,58329.421910097095,36332.310000000005,54852.26017092245
2012,New Jersey,34,8864590,7074372,2026059,6051997,2504411,1762569,903219,820689,8677714,100438,86438,8650883,4316221,4548369,5134489,1125945,1642807,778736,7892,134269,502383,2046313,2816739,3745308,1458829,843714,4206523,472637,6888156,1148189,2405914,5310487,39710,57063.73552879863,33440,52355.6823187284
2016,New Jersey,34,8944469,7196484,1982347,6167057,2467595,1929959,903964,828702,8758562,97694,88213,8735506,4368680,4575789,4969524,1136413,1786914,849456,8517,153693,533687,2000168,2733520,3688298,1579113,943538,4429108,276854,7012190,706015,2835718,5402736,40000,59707.189553881915,35000,55198.37454152609
2008,New Mexico,35,1984356,1539582,500313,1277947,614861,360272,132328,117390,1942019,23512,18825,1193182,979402,1004954,825068,40574,895150,26024,165353,28119,210206,451483,768943,889357,186213,139843,915993,56394,1497682,413963,659175,911218,26788.800000000003,38066.03613164566,24556.4,37163.60614591366
2012,New Mexico,35,2085538,1628286,514814,1366969,636021,421257,128228,114155,2042883,25258,17397,1345663,1037053,1048485,829143,37347,979977,27563,182384,25984,249573,475881,767361,949879,210744,157554,881549,99431,1585752,399614,773833,912091,26125,37955.296762800215,24035,36148.10603326879
2016,New Mexico,35,2081015,1652192,486671,1390329,618500,469582,115802,105588,2037888,25334,17793,1347179,1028641,1052374,788539,37767,1010310,32198,177622,31116,214359,465816,716774,974010,225822,164409,893300,73535,1609396,193422,999135,888458,26800,38381.63663909378,24000,36272.841252295846
2008,New York,36,19490297,15651720,4396836,13060931,5713327,3609809,2034449,1861677,18881537,251111,357649,17752760,9461961,10028336,11669655,2861188,3232360,1339331,52937,240879,1447912,4537521,6744013,8304540,2619738,1822006,9475628,626275,15055992,2252255,6037198,11200844,34602.200000000004,52315.607079526126,30807.120000000003,48676.83361406427
2012,New York,36,19570261,15821254,4255688,13301849,5592668,3887658,2085809,1919687,18986309,227668,356284,17547606,9488736,10081525,11226501,2819495,3553080,1494701,44045,326987,1625127,4435487,6437438,8385242,2814182,1933399,9153484,932052,15248915,2156312,6844461,10569488,34485,50681.039660656614,29259.999999999996,46517.96967948911
2016,New York,36,19745289,16053037,4173030,13661783,5396538,4261949,2033499,1870835,19169325,216592,359372,17771838,9592192,10153097,10958551,2841644,3749158,1662419,41218,381148,1767607,4277391,6239607,8331933,3020886,2152863,9494739,604058,15491890,1211454,7836535,10697300,35000,54324.375257531014,30000,50037.825578132724
2008,North Carolina,37,9222414,7228784,2241740,6084431,2755040,1620152,463959,408891,8940285,114707,167422,6403495,4511055,4711359,6183399,1943449,678023,176694,89291,130334,348835,2089277,3390458,4155486,1147326,529144,4479645,320078,6948214,1437873,2579298,5205243,29579.300000000003,40769.73348254345,26788.800000000003,39111.537448338524
