fips,year,gini,ginican
01003,2008,0.5066407619903394,0.5068407069393004
01003,2012,0.4886485285512908,0.48881421177841844
01003,2016,0.5059795077401649,0.5061655511885021
01015,2008,0.4765452833942143,0.4768145750404926
01015,2012,0.4859750320179713,0.48618926564572007
01015,2016,0.4963575726114474,0.4966813136327346
01055,2008,0.48961753673357566,0.48989498035348333
01055,2012,0.4883055331140921,0.48850069985550704
01055,2016,0.46904286364879133,0.46929258463123347
01073,2008,0.514267045454913,0.5144781348919878
01073,2012,0.5103720439592716,0.5105403280718974
01073,2016,0.5443208158379939,0.544560147998709
01081,2008,0.5066463733134061,0.5068581427823347
01081,2012,0.5489528870453914,0.5490878509135086
01081,2016,0.49643094385064224,0.4966475944224271
01097,2008,0.49451347800071344,0.4947164479878552
01097,2012,0.4944091255521833,0.4945895410024832
01097,2016,0.49815417161758424,0.49836012788171047
01117,2008,0.5091238130993023,0.5093023302367214
01117,2012,0.5025129180992597,0.5026560254347032
01117,2016,0.517967954524321,0.518187122315851
04005,2008,0.4874759373291574,0.48766928742651316
04005,2012,0.571594117838886,0.5718431044282681
04005,2016,0.5106237591804317,0.5108246853861829
04013,2008,0.504081090131558,0.5042728404614536
04013,2012,0.5027013369276172,0.502887029176236
04013,2016,0.5177266041834843,0.5179000779753551
04019,2008,0.5086389624893188,0.5088761618269473
04019,2012,0.5131272668006872,0.5133234476338657
04019,2016,0.5148135439079897,0.5150470798212154
04025,2008,0.49685622597244083,0.4971124252958816
04025,2012,0.4750362490085053,0.4752760999465977
04025,2016,0.5115157781479043,0.5117253835887254
04027,2008,0.48319144933547,0.4833950379821488
04027,2012,0.48667782255971515,0.48690217128444147
04027,2016,0.4770505261790102,0.47730387029992016
05007,2008,0.5123959111444445,0.5125995624169946
05007,2012,0.5013191249865119,0.5015066055565285
05007,2016,0.5095162168621454,0.5096678572234623
05119,2008,0.511760097796037,0.5119535150952288
05119,2012,0.49424866780406174,0.4944370723066527
05119,2016,0.518944582301462,0.5191123988784625
05143,2008,0.48953806140529843,0.489778943476324
05143,2012,0.5029580930440993,0.5031687711181405
05143,2016,0.5056483218171051,0.5058497090720664
06001,2008,0.5152858504076595,0.5154863335210393
06001,2012,0.5226767570937138,0.5228297827152346
06001,2016,0.5330161593374918,0.5331644122552461
06007,2008,0.5236425054057325,0.5239151905564086
06007,2012,0.5368667299811787,0.5370713359812385
06007,2016,0.5400616705108443,0.5403502604682444
06013,2008,0.5330720316561468,0.5332555758834587
06013,2012,0.5477371603397083,0.5478967612436918
06013,2016,0.5421632370978378,0.5423588963333259
06017,2008,0.5071295390929369,0.507348291241442
06017,2012,0.5250081618805422,0.5251916645941321
06017,2016,0.5292424941246185,0.529442650819135
06019,2008,0.5213322127870856,0.5216158418716077
06019,2012,0.5329628435476976,0.533210414058658
06019,2016,0.5352390674113813,0.5355092512963893
06023,2008,0.5307991696386575,0.5310859180326872
06023,2012,0.5111638664964054,0.5113509320987077
06023,2016,0.5261449464458512,0.5267001042366815
06025,2008,0.5253447509812615,0.5257302755025819
06025,2012,0.5152826051561226,0.5156174378401204
06025,2016,0.5460961424290567,0.5464409595246877
06029,2008,0.5225840714618872,0.5228443946151629
06029,2012,0.5211891291437782,0.5214676970978189
06029,2016,0.5234191495813563,0.523721089620949
06031,2008,0.45723688523384864,0.4574054284154556
06031,2012,0.5136353143161934,0.5139650619012173
06031,2016,0.47603498446106285,0.4762722386105338
06037,2008,0.5457761872461083,0.54603378228785
06037,2012,0.5457618867782902,0.5459770921770541
06037,2016,0.5529573973258313,0.5531851475607255
06039,2008,0.5177852683228061,0.5180703238719673
06039,2012,0.5119005515918987,0.5121269805765394
06039,2016,0.4860068143238183,0.48618925711303973
06041,2008,0.5603675783996658,0.560581449064216
06041,2012,0.5719603327339944,0.5721287403842439
06041,2016,0.5815609500826593,0.5816964985831419
06047,2008,0.5130355245563092,0.5133179941272488
06047,2012,0.5032082387870802,0.5034170446156168
06047,2016,0.5172177595261196,0.5174950547025787
06055,2008,0.5323504568078927,0.5325752275230116
06055,2012,0.5357420133474156,0.5358999230764709
06055,2016,0.5459787312235437,0.5461858349788145
06059,2008,0.5463402683001449,0.5465763444090044
06059,2012,0.5483730512422541,0.5485829958061004
06059,2016,0.5558116303086654,0.5560155444477459
06061,2008,0.4928060787802081,0.4930401669440698
06061,2012,0.5026280575874644,0.5027961343528204
06061,2016,0.5316446977863027,0.5318565816380669
06065,2008,0.5059039738235862,0.5061327646194513
06065,2012,0.5105366799043771,0.5107527615737126
06065,2016,0.5089280363902431,0.5091808675329048
06067,2008,0.48623874264608624,0.48646625842570757
06067,2012,0.513756246629079,0.5139689540387735
06067,2016,0.5118742950951454,0.5121224041959067
06071,2008,0.4955951595669599,0.4958657509309887
06071,2012,0.4980049053817148,0.4982569999606312
06071,2016,0.5021271534018941,0.5023855773888499
06073,2008,0.5220295818277894,0.522273995460182
06073,2012,0.5204332362497641,0.5206199995836869
06073,2016,0.5285445759661453,0.5287929110068035
06075,2008,0.5587966431296101,0.5589950183070869
