fips,state,year,poptotal,malepop,femalepop,popu18,pop25o,pop324,pop60o,whitepop,blackpop,hisppop,asianpop,amindpop,multipop,otherpop,noncit,noncit18o,enroll,nohs,hs,bacc,grad,incmed,incmean,incpc,medage,meanage
1,Alabama,2016,4863300,2360498,2502802,1098459,3299890,1392499,1084425,3196086,1302011,198993,60678,21751,77872,5909,95945,89229,1067978,498469,1985672,505233,310516,28000,40253.28578178091,19197.90671663274,38,38.98514712232435
2,Alaska,2016,741894,390199,351695,187970,477768,233254,116219,454442,21344,51244,52674,111671,47804,2715,21334,19650,161979,35885,301886,87359,52638,36000,48425.938121240215,27743.862647494116,33,35.10561886199376
4,Arizona,2016,6931071,3445094,3485977,1628320,4632074,2050869,1589519,3835930,285723,2145655,227172,272756,154430,9405,541575,502315,1538638,613585,2691169,828605,498715,30000,42963.94180400897,20801.217659579594,37,38.54786828759942
5,Arkansas,2016,2988248,1470739,1517509,705780,1990062,886201,670061,2174281,467540,214942,47983,17554,63568,2380,89173,82868,673170,282160,1268080,277229,162593,28000,38788.36560528427,18571.838351100712,37,38.52372661171361
6,California,2016,39250017,19497412,19752605,9088650,26310755,11494533,7564855,14728382,2162764,15280629,5629487,126998,1217211,104546,5309449,4949232,9055469,4624768,13011664,5446174,3228149,33000,52482.810141762486,26953.20459904514,36,37.44772051945864
8,Colorado,2016,5540545,2790068,2750477,1259927,3743681,1597503,1072282,3798024,221204,1180593,178173,26386,130082,6083,324935,298139,1201855,321817,1925363,928738,567763,35000,49004.75283957272,27824.02537512104,36,37.52566254763746
9,Connecticut,2016,3576452,1745910,1830542,748701,2470018,1002234,816300,2411546,358403,560669,161037,4795,67292,12710,246124,221949,809238,230568,1280952,545957,412541,40000,58709.90371867004,33131.21397379302,40,40.08673568106044
10,Delaware,2016,952065,458594,493471,204214,663785,255425,227680,596681,200630,86907,38495,2863,24622,1867,45616,42908,203052,68315,384966,128327,82177,35000,47522.476421142615,24523.08075394012,40,40.012471837532104
11,District of Columbia,2016,681170,323160,358010,120453,479160,176426,112423,247757,316344,74277,26159,848,14271,1514,49939,45940,138722,48166,156477,115562,158955,50000,70058.34346880192,42026.68195898234,33,36.50893315912327
12,Florida,2016,20612439,10072621,10539818,4142576,14696192,5251461,5394597,11267674,3166600,5127849,555966,37638,393258,63454,1900973,1733625,4069694,1847459,8636204,2682126,1530403,29000,42137.6365613528,20690.043762943336,42,41.39916824010977
13,Georgia,2016,10310371,5014850,5295521,2511414,6784187,3140567,1937464,5483285,3205474,962360,398939,17272,208035,35006,607470,557471,2438209,918509,3791703,1282175,791800,30000,44401.01415098209,22582.72991893308,36,36.999449971295896
15,Hawaii,2016,1428557,719511,709046,306799,993652,379974,337837,316084,22773,148706,646326,2241,289855,2572,114816,103676,274472,76901,588425,218363,109963,35000,46629.85673810014,25343.185911377706,39,39.56907004760748
16,Idaho,2016,1683140,838762,844378,436911,1086398,530422,360495,1387525,9130,206444,26368,19625,33403,645,59281,56094,403205,102997,686975,201479,94947,26400,38409.732829227294,19630.932352032512,36,37.27247881934955
17,Illinois,2016,12801539,6284067,6517472,2920404,8672078,3671224,2671810,7889202,1796246,2178129,675196,13499,231820,17447,891077,831374,2919453,980254,4757973,1813665,1120186,34000,49601.42628397563,26541.53813068882,37,38.40283789316269
18,Indiana,2016,6633053,3262640,3370413,1575217,4391185,2000454,1406292,5275941,606099,448163,145213,14128,134723,8786,210241,188459,1526892,517637,2744132,722003,407413,30000,41104.28855795339,21760.647092824376,37,38.14381266062551
19,Iowa,2016,3134693,1556308,1578385,723558,2088992,927992,718119,2710375,104992,179066,79292,9290,49709,1969,98058,86075,722181,175715,1308615,405748,198914,32000,41854.651076779184,23753.242438414225,38,38.91666839464024
20,Kansas,2016,2907289,1448028,1459261,714300,1893041,899652,614500,2217370,169163,337486,78289,18430,84541,2010,128738,119260,685496,179407,1088582,393198,231854,30000,41578.94342377936,22873.627630758416,36,37.69496771734767
21,Kentucky,2016,4436974,2179554,2257420,1011308,2994835,1283691,968926,3765605,365013,151891,63369,9598,75941,5557,89849,79086,969753,435377,1858953,418081,282424,30000,39839.3442532488,19718.977955471455,38,38.71697895908338
22,Louisiana,2016,4681666,2291460,2390206,1117130,3117540,1377545,960040,2755796,1510134,230625,77897,24697,76752,5765,109626,96064,1060134,491770,1900523,468116,257131,30000,42393.33316354533,20405.85362625185,36,37.659472504018865
23,Maine,2016,1331479,649456,682023,256779,964124,331373,352897,1243580,21097,20044,16412,7170,22058,1118,22729,18203,258945,72334,596422,185007,110361,30000,39500.24349372345,21883.79700768844,44,42.11919226664484
24,Maryland,2016,6016447,2909870,3106577,1346368,4125225,1681001,1245040,3091715,1768249,586557,374981,9735,170107,15103,455374,408082,1313122,405394,2103802,861976,754053,40000,56086.68370834875,31448.688787751307,38,38.62510564790149
