fips,year,state,st,county,poptotal,vap,vep,to.vap,to.vep,earnmed,earnpc,incmed,incpc,gini,femaleprop,whiteprop,nonwhprop,blackprop,hispprop,aapiprop,aianprop,multiprop,otherprop,oldprop,uninsprop,ur.6mo,ur.oct,ur.trend,hsprop,baccprop,gradprop,enrollprop,health_index,attain_index,enroll_index,ed_index,inc_index,hdi
01003,2008,Alabama,AL,Baldwin County,174359,134138,129112,0.6069346493909258,0.6305610632629035,27458.52,38696.2991778336,31253.600000000002,42272.424037173456,0.5066407619903394,0.5077512488601105,0.8412126704099014,0.15878732959009856,0.08648248728198717,0.03630440642582258,0.012479998164706152,0.00960088094104692,0.013919556776535768,0.022161173211592174,0.23057026021025584,0.14583130208363204,4.666666666666667,5.2,0.00530850737795097,0.9611101621155551,0.3145838925628574,0.08383155600022776,0.8083447756566418,4.296860863208332,5.730170737857603,5.952707875904051,5.804349783873086,4.6380590683140746,4.8724461441901
01003,2012,Alabama,AL,Baldwin County,191102,147963,141071,0.5767522961821536,0.6049294326970107,27692.499999999996,37241.77631632239,31349.999999999996,40639.17701701093,0.4886485285512908,0.514123347740997,0.8314041715942272,0.1685958284057728,0.08770708836118932,0.04571904009377191,0.00834109533128905,0.003757155864407489,0.02307144875511507,0.004181013280865716,0.2470565457190401,0.12646649433286936,7.533333333333333,7.3,-0.001968960856917474,0.9756910630009739,0.2887781856318825,0.09519814218293506,0.7680819574451727,4.7997801568317815,5.731115938771944,4.80234164129065,5.421524506278178,4.659410594842571,4.949461130968225
01003,2016,Alabama,AL,Baldwin County,208854,163294,159503,0.5830893970384705,0.5969480197864617,32000,45680.51568403652,35000,49104.75070843829,0.5059795077401649,0.5162410104666417,0.8283729303724132,0.17162706962758678,0.0909870052764132,0.04410257883497563,0.005582847347908108,0.008077412929606329,0.020531088703113178,0.013401706455227097,0.2630641500761297,0.08239727273597824,5.2,5.5,-0.0015067398851480525,0.9983700745690884,0.3233025005772653,0.138204093829374,0.7746067661764169,5.264086385007344,6.399177793171518,4.988764747897626,5.929040111413554,5.422967602946497,5.531566468306618
01003,Pooled,Alabama,AL,Baldwin County,174359,134138,129112,0.6069346493909258,0.6305610632629035,27458.52,38696.2991778336,31253.600000000002,42272.424037173456,0.5066407619903394,0.5077512488601105,0.8412126704099014,0.15878732959009856,0.08648248728198717,0.03630440642582258,0.012479998164706152,0.00960088094104692,0.013919556776535768,0.022161173211592174,0.23057026021025584,0.14583130208363204,4.666666666666667,5.2,0.00530850737795097,0.9611101621155551,0.3145838925628574,0.08383155600022776,0.8083447756566418,4.296860863208332,5.730170737857603,5.952707875904051,5.804349783873086,4.6380590683140746,4.8724461441901
01003,Pooled,Alabama,AL,Baldwin County,191102,147963,141071,0.5767522961821536,0.6049294326970107,27692.499999999996,37241.77631632239,31349.999999999996,40639.17701701093,0.4886485285512908,0.514123347740997,0.8314041715942272,0.1685958284057728,0.08770708836118932,0.04571904009377191,0.00834109533128905,0.003757155864407489,0.02307144875511507,0.004181013280865716,0.2470565457190401,0.12646649433286936,7.533333333333333,7.3,-0.001968960856917474,0.9756910630009739,0.2887781856318825,0.09519814218293506,0.7680819574451727,4.7997801568317815,5.731115938771944,4.80234164129065,5.421524506278178,4.659410594842571,4.949461130968225
01003,Pooled,Alabama,AL,Baldwin County,208854,163294,159503,0.5830893970384705,0.5969480197864617,32000,45680.51568403652,35000,49104.75070843829,0.5059795077401649,0.5162410104666417,0.8283729303724132,0.17162706962758678,0.0909870052764132,0.04410257883497563,0.005582847347908108,0.008077412929606329,0.020531088703113178,0.013401706455227097,0.2630641500761297,0.08239727273597824,5.2,5.5,-0.0015067398851480525,0.9983700745690884,0.3233025005772653,0.138204093829374,0.7746067661764169,5.264086385007344,6.399177793171518,4.988764747897626,5.929040111413554,5.422967602946497,5.531566468306618
01015,2008,Alabama,AL,Calhoun County,113337,87656,85001,0.561764169024368,0.5793108316372748,25672.600000000002,33286.325887261235,27905.000000000004,36041.55568204066,0.4765452833942143,0.5218154706759487,0.7638105825987983,0.2361894174012017,0.19501133786848074,0.019437606430380193,0.007764454679407431,0.00220581098846802,0.008999708832949522,0.0027704986015158334,0.19812594298419758,0.14926281796765398,5.966666666666667,6.9,0.007900210511507693,0.9518627205853325,0.15988735508152283,0.06406021765735416,0.7334898179280593,2.719286328850246,4.5054019554947295,3.813994797944553,4.274932902978004,3.852351898697753,3.5511585634070952
01015,2012,Alabama,AL,Calhoun County,117442,90981,87950,0.5084248359547597,0.5259465605457646,20900,31231.50568724177,24035,33574.28063897991,0.4859750320179713,0.5180684933839682,0.7315781406992388,0.26842185930076123,0.20541203317382198,0.03463837468707958,0.00906830605745815,0.002963164796239846,0.01633998058616168,0,0.20765143645373887,0.10090087021678786,9.266666666666666,8.5,0.0013982184396022764,0.9451359779163685,0.17588947960331255,0.06490900725897147,0.7686425557223371,2.785970780094727,4.572896431857683,4.818358734923917,4.654717199546427,2.817291966706717,3.3181848142741455
01015,2016,Alabama,AL,Calhoun County,114956,90045,86619,0.5315564440002221,0.5525808425403202,26000,34538.86580715453,30000,38549.19482476848,0.4963575726114474,0.5174240579004141,0.7248773443752392,0.2751226556247608,0.21484741988238978,0.0343783708549358,0.01002122551236995,8.525000869898048e-4,0.015023139288075438,0.001687602213020634,0.23742127422666062,0.11550506280663907,6.55,6.4,-0.0012922090645551513,0.9595447187631442,0.20074690594848132,0.07406604891851587,0.777712172534883,2.8044310124909506,4.8957178242009425,5.0774906438538014,4.956308764085229,4.354241763469901,3.9261951717450345
01015,Pooled,Alabama,AL,Calhoun County,113337,87656,85001,0.561764169024368,0.5793108316372748,25672.600000000002,33286.325887261235,27905.000000000004,36041.55568204066,0.4765452833942143,0.5218154706759487,0.7638105825987983,0.2361894174012017,0.19501133786848074,0.019437606430380193,0.007764454679407431,0.00220581098846802,0.008999708832949522,0.0027704986015158334,0.19812594298419758,0.14926281796765398,5.966666666666667,6.9,0.007900210511507693,0.9518627205853325,0.15988735508152283,0.06406021765735416,0.7334898179280593,2.719286328850246,4.5054019554947295,3.813994797944553,4.274932902978004,3.852351898697753,3.5511585634070952
01015,Pooled,Alabama,AL,Calhoun County,117442,90981,87950,0.5084248359547597,0.5259465605457646,20900,31231.50568724177,24035,33574.28063897991,0.4859750320179713,0.5180684933839682,0.7315781406992388,0.26842185930076123,0.20541203317382198,0.03463837468707958,0.00906830605745815,0.002963164796239846,0.01633998058616168,0,0.20765143645373887,0.10090087021678786,9.266666666666666,8.5,0.0013982184396022764,0.9451359779163685,0.17588947960331255,0.06490900725897147,0.7686425557223371,2.785970780094727,4.572896431857683,4.818358734923917,4.654717199546427,2.817291966706717,3.3181848142741455
01015,Pooled,Alabama,AL,Calhoun County,114956,90045,86619,0.5315564440002221,0.5525808425403202,26000,34538.86580715453,30000,38549.19482476848,0.4963575726114474,0.5174240579004141,0.7248773443752392,0.2751226556247608,0.21484741988238978,0.0343783708549358,0.01002122551236995,8.525000869898048e-4,0.015023139288075438,0.001687602213020634,0.23742127422666062,0.11550506280663907,6.55,6.4,-0.0012922090645551513,0.9595447187631442,0.20074690594848132,0.07406604891851587,0.777712172534883,2.8044310124909506,4.8957178242009425,5.0774906438538014,4.956308764085229,4.354241763469901,3.9261951717450345
