GEOID,year,d14,d16,state,st,poptotal,noncit,popu18,popu25,pop3o,pop324,vapacs,medage,incmed,incpc,gini,hs,ged,some1,some2,assoc,bacc,mast,prof,phd,enroll,pop_check,nothilat,white,black,amind,asian,hawpi,other,multi,hilat,white_prop,black_prop,amind_prop,asian_prop,hawpi_prop,other_prop,multi_prop,hilat_prop,nonwh_prop
53,2012,0,0,Washington,WA,6897012,434197,1585029,2251153,6643366,1997507,4877786,37.5,31989,29861,0.4498,921721,179506,366665,812150,448208,944631,372069,91575,63240,1718203,6897012,6089416,4927042,239399,84746,504801,38963,8885,285580,807596,0.7143734127184351,0.03471053841866594,0.012287349942264852,0.07319126021529324,0.0056492579685231805,0.0012882390229276097,0.041406336541099244,0.11709360517279077,0.28562658728156487
53,2014,1,0,Washington,WA,7061530,458231,1602653,2277046,6799458,2014974,5000646,37.5,33176,31841,0.4542,903776,186948,371353,799271,479799,1005685,410459,100407,68225,1725154,7061530,6202752,4960822,242656,80907,550240,43761,9989,314377,858778,0.7025137611820668,0.0343630912847499,0.01145743202960265,0.07792079053689498,0.006197098928985644,0.0014145659651661892,0.04451967208239574,0.12161358799013812,0.29748623881793324
53,2016,0,1,Washington,WA,7288000,485424,1629061,2291445,7024743,2028188,5173515,37.7,36353,35284,0.4591,917047,194739,374392,804380,491450,1098509,472318,109063,75820,1744806,7288000,6381549,5053546,254841,79382,591025,46683,10670,345402,906451,0.6934064215148189,0.034967206366630074,0.010892151481888036,0.08109563666300769,0.00640546103183315,0.0014640504939626784,0.047393249176728866,0.12437582327113063,0.3065935784851811
54,2012,0,0,West Virginia,WV,1855413,11917,384220,559212,1793653,497452,1459276,41.5,26441,22410,0.4638,439338,86894,74059,171674,81746,147257,66360,18384,9683,419145,1855413,1831692,1721901,60452,2016,12057,445,1114,33707,23721,0.9280418968714782,0.03258142526758193,0.0010865505415775356,0.006498283670535886,2.3983878521924767e-4,6.004054083915549e-4,0.018166844794124004,0.012784754661091628,0.0719581031285218
54,2014,1,0,West Virginia,WV,1850326,11261,383200,553976,1790661,494311,1455865,41.9,27023,22714,0.4546,444699,88219,74701,164026,84402,152434,70397,14478,10948,411243,1850326,1825823,1713147,67307,3364,11642,90,1343,28930,24503,0.9258622534623628,0.03637575216475367,0.0018180580070755099,0.006291864244462868,4.864007747823897e-5,7.258180450363882e-4,0.01563508268272726,0.013242531316103217,0.07413774653763716
54,2016,0,1,West Virginia,WV,1831102,15776,376883,539345,1769689,477932,1438443,42.3,27617,24769,0.4711,422721,89507,74822,158855,95794,162243,78802,16651,11061,394881,1831102,1804319,1684936,68738,3734,13777,404,3361,29369,26783,0.9201759377686224,0.03753914309525084,0.0020392091756767238,0.007523884524182706,2.2063216576684422e-4,0.0018355067057979294,0.016038975436649623,0.014626711128052944,0.07982406223137761
55,2012,0,0,Wisconsin,WI,5726398,141095,1316750,1872228,5522281,1668111,4268553,38.8,30039,26994,0.4401,1112713,135298,259585,557106,386784,688002,255462,61488,41201,1500226,5726398,5371999,4738842,352680,48138,135516,829,3096,92898,354399,0.8275432479544733,0.06158845403340809,0.008406331519394914,0.023665138189835913,1.4476814220737015e-4,5.406540027430856e-4,0.016222763419517817,0.06188864273841951,0.17245675204552668
55,2014,1,0,Wisconsin,WI,5757564,141465,1299502,1859402,5560761,1662599,4316597,39.2,30618,28213,0.4397,1100818,143850,256185,549750,402829,736544,269393,60549,41608,1451402,5757564,5386582,4731591,357934,46200,149258,1197,2751,97651,370982,0.8218043255793596,0.06216761116333227,0.0080242269126318,0.025923810833887388,2.079004245545512e-4,4.7780623888852994e-4,0.016960471477173333,0.06443384737017252,0.17819567442064044
55,2016,0,1,Wisconsin,WI,5778709,141998,1284991,1845380,5576816,1643487,4351720,39.4,32038,30902,0.4498,1083082,139525,272788,539603,420412,758503,288536,69338,43798,1428041,5778709,5391694,4718160,355473,48653,154748,987,3230,110443,387015,0.8164730219154486,0.0615142586345843,0.008419354565180562,0.026778991639828203,1.7079939481292448e-4,5.589483741091652e-4,0.019112054266792116,0.06697257120924414,0.18352697808455143
56,2012,0,0,Wyoming,WY,576412,10876,136610,195470,554038,173096,428926,36.9,29473,27813,0.4166,95341,20290,33188,68136,38055,64409,20963,4466,4440,154543,576412,522096,487672,5311,10328,5520,59,151,13055,54316,0.8460476187171676,0.009213895616329987,0.017917739394738487,0.009576483487505465,1.0235734162369972e-4,2.619653997487908e-4,0.022648730421989827,0.09423120962089616,0.1539523812828324
56,2014,1,0,Wyoming,WY,584153,13936,137764,195191,562284,173322,432453,36.6,30822,29698,0.427,86194,20565,35128,73289,41611,69557,23807,5370,4599,144582,584153,527088,490892,5912,13331,5515,837,149,10452,57065,0.8403483333989554,0.010120636203186494,0.022821075985229897,0.009441019732843964,0.001432843792636518,2.550701614131914e-4,0.017892572665038096,0.09768844806069643,0.15965166660104457
56,2016,0,1,Wyoming,WY,585501,10847,140860,194707,562405,171611,433794,37.2,31526,30042,0.436,93204,21420,30127,67834,45601,67845,26068,6551,5453,151204,585501,529237,494078,5400,12328,5815,173,211,11232,56264,0.8438550916223884,0.009222870669734125,0.021055472151200426,0.009931665360093322,2.954734492340747e-4,3.6037513172479634e-4,0.019183570993046982,0.09609548062257793,0.15614490837761164
