GEOID,year,d14,d16,state,st,poptotal,noncit,popu18,popu25,pop3o,pop324,vapacs,medage,incmed,incpc,gini,hs,ged,some1,some2,assoc,bacc,mast,prof,phd,enroll,pop_check,nothilat,white,black,amind,asian,hawpi,other,multi,hilat,white_prop,black_prop,amind_prop,asian_prop,hawpi_prop,other_prop,multi_prop,hilat_prop,nonwh_prop
35,2012,0,0,New Mexico,NM,2085538,113805,515848,725208,2002855,642525,1455885,36.8,26026,22874,0.4713,298375,61952,77980,242995,111952,202552,106967,22244,23525,572854,2085538,1105814,827066,37796,180977,26846,1009,3913,28207,979724,0.39657201163440803,0.01812290162058903,0.08677712897103769,0.0128724578502046,4.8380801500619986e-4,0.0018762544724670565,0.013525047253993934,0.4697703901822935,0.603427988365592
35,2014,1,0,New Mexico,NM,2085572,118740,500078,711750,2005740,631918,1466754,37.2,25736,23683,0.477,299171,63113,81677,240044,109771,206947,110475,19348,26164,560799,2085572,1091418,807748,38178,184866,29579,369,4788,25890,994154,0.3873028598389315,0.018305769352484593,0.08864043053896005,0.014182679859530143,1.769298782300491e-4,0.002295773054106979,0.012413860561994504,0.4766816969157622,0.6126971401610686
35,2016,0,1,New Mexico,NM,2081015,109643,489514,689634,2006122,614741,1481858,37.7,26949,25146,0.4769,310743,59765,85075,237950,116674,215691,116006,22128,24408,539773,2081015,1071139,787250,37782,178176,30149,1077,4299,32406,1009876,0.37830097332311396,0.018155563511075123,0.08561975766633109,0.014487641847848285,5.175359139650603e-4,0.0020658188432087225,0.015572208753901341,0.4852805001405564,0.621699026676886
36,2012,0,0,New York,NY,19570261,1920011,4261010,6260500,18888881,5579120,13389240,38.1,33190,31290,0.5009,3081374,498602,613490,1589218,1128596,2531374,1371561,359112,181715,5029814,19570261,16016575,11227534,2820905,44447,1487288,7049,103439,325913,3553686,0.5737038458505995,0.14414243121233794,0.0022711500883917696,0.07599735128724139,3.6018937100532283e-4,0.0052855196974634115,0.01665348254680916,0.18158602994615147,0.4262961541494005
36,2014,1,0,New York,NY,19746227,1894593,4225273,6206615,19062160,5522548,13626361,38.2,34308,33095,0.5111,3074611,525296,624873,1552848,1163427,2651150,1459502,363125,194205,4874923,19746227,16075938,11122385,2850956,47372,1600915,3235,100191,350884,3670289,0.5632663394379088,0.14437978455327188,0.00239904058633581,0.08107447564539798,1.638287658700571e-4,0.005073931338883119,0.01776967316338458,0.18587292650894777,0.4367336605620912
36,2016,0,1,New York,NY,19745289,1863443,4179386,6091697,19059878,5406286,13702460,38.4,36263,35534,0.5129,3036385,538429,637569,1513289,1191816,2749619,1521940,391676,204577,4843659,19745289,15997675,10962313,2829419,45228,1654883,6491,106193,393148,3747614,0.5551862522751629,0.14329590212632493,0.0022905716902902763,0.08381153600739903,3.2873664194026233e-4,0.0053781436169407296,0.019910977246268717,0.1897978803956731,0.44481374772483706
37,2012,0,0,North Carolina,NC,9752073,456416,2284002,3262190,9394913,2905030,7011655,37.8,27066,24435,0.4691,1475044,285660,416106,1012715,562049,1170056,436058,92150,77594,2550114,9752073,8907177,6292533,2075668,103792,225603,5465,19220,184896,844896,0.6452508097509114,0.21284377178062552,0.010643070452815519,0.0231338506182224,5.603936721966704e-4,0.0019708630154839897,0.018959661192035786,0.0866375795177087,0.3547491902490886
37,2014,1,0,North Carolina,NC,9943964,450648,2290568,3282027,9592631,2930694,7202748,38.3,28248,25774,0.4748,1484395,287890,423979,1035991,614392,1239857,481543,103494,87670,2556055,9943964,9053363,6359485,2124971,105548,245542,5185,22434,190198,890601,0.6395321825380703,0.213694558829859,0.01061427816914864,0.024692567269953915,5.214218394193704e-4,0.0022560419567086124,0.019126979944818788,0.08956196945202134,0.3604678174619297
37,2016,0,1,North Carolina,NC,10146788,431767,2296894,3269603,9790290,2913105,7418127,38.7,30552,28156,0.478,1472415,303471,439327,1042804,654866,1345615,543876,114036,87578,2523926,10146788,9215678,6438334,2144650,108345,273281,5376,19620,226072,931110,0.6345194163906844,0.21136245282743663,0.010677763248823174,0.02693275941115553,5.298228365468954e-4,0.0019336168253441385,0.02228015407437309,0.09176401438563613,0.36548058360931557
38,2012,0,0,North Dakota,ND,699628,9216,154098,241724,673208,215304,536314,36.2,31090,30796,0.4597,111239,17071,29968,77563,56223,89629,25163,7503,5580,177584,699628,682956,616194,10066,36404,6737,1190,146,12219,16672,0.8807451960184555,0.014387646006163275,0.052033366303235434,0.009629403054194515,0.0017009039089344623,2.0868232832305168e-4,0.01746499568342033,0.023829806697273408,0.11925480398154453
38,2014,1,0,North Dakota,ND,739482,13050,167526,260632,709716,230866,558906,35.1,32022,33071,0.4664,115457,17936,33060,79340,64475,94873,24779,6226,5438,182606,739482,718864,641678,14834,39122,8784,88,251,14107,20618,0.8677398503276618,0.0200599879375022,0.05290460078811925,0.011878585279966247,1.190022204732502e-4,3.3942678794074774e-4,0.01907686732063796,0.027881679337698553,0.13226014967233823
38,2016,0,1,North Dakota,ND,757953,12661,174595,262938,723952,228937,570697,35,35039,33339,0.4533,115825,18353,30672,78544,67554,107578,28550,5718,4477,181543,757953,731519,644710,18815,40676,9111,233,127,17847,26434,0.8505936383918264,0.02482343892035522,0.053665596679477484,0.012020534254762499,3.074069236483001e-4,1.675565635336228e-4,0.02354631487704383,0.03487551338935264,0.14940636160817355
39,2012,0,0,Ohio,OH,11544225,196842,2659925,3773509,11145456,3374740,8687458,39.3,28480,25445,0.4615,2385539,301858,542516,1082257,625983,1240747,528409,116545,75611,3013300,11544225,11169949,9309291,1391987,17615,199187,3722,14870,233277,374276,0.8064024219902158,0.12057864430050523,0.0015258711606885695,0.017254254833044227,3.224122883952799e-4,0.0012880899324120936,0.020207246480383047,0.032421059014355665,0.19359757800978417
39,2014,1,0,Ohio,OH,11594163,216552,2635640,3736703,11190481,3333021,8741971,39.4,30134,26937,0.4637,2372992,293571,523788,1079663,659197,1301747,576319,126136,88016,2901361,11594163,11195457,9277608,1402190,16856,223984,3026,14657,257136,398706,0.8001964436760118,0.12093930368237879,0.0014538350030097041,0.01931868648042985,2.609933981435314e-4,0.0012641706003270784,0.02217805632023631,0.03438851083946293,0.19980355632398816
39,2016,0,1,Ohio,OH,11614373,219417,2608971,3692312,11200305,3278244,8785985,39.3,31289,29164,0.468,2333030,305998,530452,1100077,682507,1362205,598321,130456,88699,2830005,11614373,11194292,9216496,1421393,15138,237401,3218,19951,280695,420081,0.7935422773144964,0.12238224138315516,0.0013033850385208053,0.020440276887955983,2.7707048843704263e-4,0.0017177853681813043,0.024167899549980013,0.036169063969273246,0.20645772268550355
40,2012,0,0,Oklahoma,OK,3814820,130475,936284,1327364,3658438,1170982,2748061,36.3,26870,23740,0.4643,662794,123481,179102,418825,180387,393930,142002,33095,22280,985249,3814820,3458521,2585779,269430,268571,70326,3792,3337,257286,356299,0.6778246417917491,0.07062718555528177,0.07040201110406258,0.0184349458165785,9.940180663832107e-4,8.747463838398666e-4,0.06744381124142161,0.09339864004068343,0.32217535820825094
