fips,state,year,poptotal,malepop,femalepop,popu18,pop25o,pop324,pop60o,whitepop,blackpop,hisppop,asianpop,amindpop,multipop,otherpop,noncit,noncit18o,enroll,nohs,hs,bacc,grad,incmed,incmean,incpc,medage,meanage
1,Alabama,2004,4414559,2122034,2292525,1088943,2906811,1338706,772427,3084123,1146758,86116,34122,21371,39976,2093,76357,65564,998962,596800,1674864,398768,236379,25765.139999999996,34269.68449283759,17692.281324985666,36,36.85519482240467
2,Alaska,2004,635963,323047,312916,187721,381642,226255,61239,427008,21013,30293,31102,80352,45257,938,21732,18127,165595,32732,245039,68615,35256,32068.199999999997,39300.84965658858,22935.515311995823,33,32.89589645938522
4,Arizona,2004,5638345,2797941,2840404,1544908,3539022,1828678,947916,3427787,163590,1592198,123630,243416,76166,11558,588566,492933,1331993,582164,2079343,547943,329572,27644.999999999996,37591.16735464044,19174.499166795504,34,35.23764952304267
5,Arkansas,2004,2668372,1305939,1362433,666878,1748206,810172,485989,2072991,399651,117767,27487,17543,32473,460,69041,57289,599596,345708,1086991,208578,106929,22115.999999999996,30623.288786084184,16000.396886304308,36,36.90417490514816
6,California,2004,35057375,17369546,17687829,9562689,22158967,11359979,5012376,15488560,2104986,12246380,4300320,173871,651767,91491,5406074,4810019,8812587,4337246,11313313,4212207,2296201,30962.399999999998,44343.48056390593,23010.33224584589,34,34.67698882189555
8,Colorado,2004,4498611,2257736,2240875,1172660,2894340,1403219,607381,3256090,172044,862631,117404,21928,62394,6120,293125,251608,1033588,365880,1552626,632753,343081,30962.399999999998,41076.2906990131,23736.67453817265,34,34.748704433435115
9,Connecticut,2004,3389483,1650517,1738966,833225,2298043,964205,601757,2565500,305449,359093,102114,4498,39637,13192,216248,194503,777601,251866,1251536,458687,335954,38702.99999999999,52264.30971631534,29443.923249182775,38,37.74876876502995
10,Delaware,2004,805421,392244,413177,193004,539831,235659,141462,567022,157806,47526,22100,1529,8980,458,36134,30413,175776,77682,310598,93678,57873,31847.039999999997,41173.13485849719,23491.308875025854,37,37.18273673023177
11,District of Columbia,2004,518074,243267,274807,108301,372359,126808,88039,150452,296524,45879,15300,1225,7228,1466,45271,42073,94239,58059,136611,80909,96780,42020.399999999994,58033.22123944794,33745.10323096546,35,37.26076004586217
12,Florida,2004,16957665,8240790,8716875,3949443,11568182,4761240,3676277,10621778,2487321,3253257,348645,33798,169322,43544,1669072,1449388,3605202,1779882,6842656,1886612,1059032,27644.999999999996,37322.219685715536,19443.57963835186,39,38.99005370137929
13,Georgia,2004,8580307,4209459,4370848,2300520,5451468,2735445,1143115,5182251,2453895,575775,238366,12517,98798,18705,539842,483000,1998696,1035380,3020082,927608,468398,27644.999999999996,38946.97346615575,21213.220315941584,34,34.225425034325696
15,Hawaii,2004,1227008,606732,620276,296830,822045,352907,228312,281311,20301,96778,614001,1118,211571,1928,94417,81631,265963,105238,477499,160198,79110,29967.179999999997,38516.88332060213,20944.253195503043,38,37.73525355987899
16,Idaho,2004,1360152,677075,683077,371085,843345,454278,207273,1183283,4045,121398,17179,19580,12980,1687,58421,48493,324251,107220,535556,134483,66086,22779.48,31422.58156483402,17276.963993413527,34,35.047896117492755
17,Illinois,2004,12368348,6047419,6320929,3223302,8001594,3850510,1955045,8180073,1804094,1737859,493093,17132,114736,21361,948374,830800,2974835,1184172,4489155,1437023,891244,30962.399999999998,41953.90300611373,22895.928634928787,35,35.71796395120836
18,Indiana,2004,6058172,2976910,3081262,1599928,3899408,1904602,997553,5131096,488003,264573,66457,11927,90545,5571,163708,138431,1404475,610132,2451823,529484,307969,27644.999999999996,35154.24268892324,19450.70967640595,35,35.91777536194086
19,Iowa,2004,2849976,1400546,1449430,679596,1899803,842993,527247,2612723,61834,103158,36950,11653,20670,2988,49865,41939,631255,198740,1244172,318951,137940,26539.199999999997,33104.71724153783,19547.09296740667,38,37.735878477573145
20,Kansas,2004,2653454,1311377,1342077,683303,1715460,823628,442283,2223893,129865,160808,57190,24352,56818,528,83588,70150,637648,182370,1048037,323567,161486,26539.199999999997,34880.82884872181,20251.396842688584,36,36.19090739843238
21,Kentucky,2004,4031134,1962561,2068573,973793,2692934,1183663,686078,3596918,274229,74613,35634,8765,38542,2433,65418,58125,874011,604036,1576467,300476,211955,25433.399999999998,33108.44983432586,17191.533110659777,37,36.83477602084177
22,Louisiana,2004,4383224,2102485,2280739,1160909,2763990,1433312,684176,2721799,1416241,120256,58502,23272,38767,4387,59344,54834,1076573,557626,1611719,396879,197766,25433.399999999998,33990.829825990375,17228.087358519435,35,35.39548104317734
23,Maine,2004,1278725,622466,656259,283011,888030,349217,235906,1226972,7397,11419,9292,4566,16168,2911,16168,14202,268265,104159,552197,158939,72735,27644.999999999996,34416.90585697068,19888.537536054428,40,39.05868189016403
24,Maryland,2004,5424648,2618757,2805891,1387848,3556220,1656364,854358,3238767,1533521,294879,253128,8615,83805,11933,316872,284523,1265354,459576,1861315,684376,550953,35938.5,47455.877712671696,27191.377005273484,36,36.19769301160185
25,Massachusetts,2004,6193986,2989014,3204972,1452818,4255955,1704504,1050232,4967994,353976,481882,278657,7598,60033,43846,456728,418581,1348996,501591,2161074,927641,665649,35385.6,48215.505215689234,27761.151737106407,38,37.55379508445773
26,Michigan,2004,9858908,4807670,5051238,2523237,6429992,3043599,1622040,7714268,1371188,359111,220462,45447,135433,12999,323157,282853,2365378,845520,4002968,971776,609728,29303.699999999997,38975.04543181401,20807.29879934895,36,36.417684291201425
27,Minnesota,2004,4958748,2459948,2498800,1236688,3257128,1498369,784630,4292991,199075,173124,176457,48514,62071,6516,172718,149723,1133928,304541,1985679,685433,281475,32068.199999999997,39366.687439966794,23722.667862388287,36,36.29178857243804
28,Mississippi,2004,2807064,1346848,1460216,744072,1777281,907648,453265,1691268,1039949,41495,10351,6738,14891,2372,21420,20013,680811,401537,1039283,220602,115859,23221.8,31755.28185902866,15839.625007455688,34,35.52841260477139
29,Missouri,2004,5587906,2713384,2874522,1373429,3677856,1689699,979830,4647756,623394,143877,72063,17132,79958,3726,114345,100684,1256218,501503,2284075,561672,330606,27644.999999999996,34646.457924730705,19360.58157543942,37,36.945026813264214
30,Montana,2004,903109,450773,452336,208869,606128,263151,166073,805117,2701,18777,3639,57720,14988,167,7423,6527,183323,60549,380941,118473,46165,22115.999999999996,28968.963456544974,16715.333670432472,39,38.1366933559515
31,Nebraska,2004,1708711,846843,861868,438382,1103121,530957,283768,1463999,65424,118285,23459,6818,29599,1127,57053,48147,408984,115491,700240,197031,90359,26539.199999999997,33530.95048324264,19825.052161172953,35,36.235080712888255
