fips,state,year,poptotal,malepop,femalepop,popu18,pop25o,pop324,pop60o,whitepop,blackpop,hisppop,asianpop,amindpop,multipop,otherpop,noncit,noncit18o,enroll,nohs,hs,bacc,grad,incmed,incmean,incpc,medage,meanage
32,Nevada,2004,2301197,1165059,1136138,600770,1500676,702241,356959,1406677,153946,527570,139032,25806,45969,2197,263507,238979,492500,254737,956836,183417,105686,28750.799999999996,39231.57525489156,21233.091104478142,35,35.375301201939685
33,New Hampshire,2004,1261970,625267,636703,305153,854239,364028,204191,1188030,9940,26108,21973,4082,9779,2058,33689,29408,283693,100017,480155,174768,99299,33174,41910.24322182725,25055.228023443502,39,37.40709050135899
34,New Jersey,2004,8503294,4110067,4393227,2150622,5659640,2523543,1445983,5407766,1081963,1274500,600921,8764,91367,38013,818854,720943,2035873,783569,2991116,1184661,700294,38702.99999999999,51827.816005553024,28202.567828496318,37,36.99229345710027
35,New Mexico,2004,1855776,906272,949504,484153,1185465,595531,304736,797258,38881,809928,24121,162991,18071,4526,116017,98162,436006,235048,671027,162395,116995,24327.6,33348.09653293046,17562.0678059519,35,35.94318495335644
36,New York,2004,18661943,8978868,9683075,4550134,12515907,5410907,3215625,11357774,2749838,3012779,1211710,51524,183864,94454,1852466,1662567,4229782,2026386,6674363,2170830,1644328,33174,45987.4915127243,24105.924143968736,37,36.966520581485
37,North Carolina,2004,8270028,4018899,4251129,2108056,5469848,2456540,1344827,5689117,1742435,506206,142181,84187,98003,7899,396427,342339,1861115,1040929,3083761,923548,421610,26539.199999999997,35487.86498526634,19046.553856988776,35,36.09346280326983
38,North Dakota,2004,609691,302849,306842,137515,409258,178955,112621,555627,3605,6936,4296,33488,5739,0,8128,6381,134224,49393,261682,72714,25469,24327.6,31079.730469938168,19067.92312896631,38,38.05426191300183
39,Ohio,2004,11172251,5437142,5735109,2775233,7384273,3363896,1952036,9312536,1305800,242343,162444,17364,121796,9968,198633,175440,2565637,994991,4664530,1112829,611923,27644.999999999996,36535.67653182748,20011.26324274986,37,37.02756946652917
40,Oklahoma,2004,3412202,1682334,1729868,853262,2225209,1053143,590211,2489861,242200,218775,53632,249898,155783,2053,98221,83519,757892,369206,1361004,339024,155975,25433.399999999998,32570.306569821958,17067.155160424263,36,36.62185298525703
41,Oregon,2004,3506284,1748580,1757704,840823,2345253,1035926,608126,2876575,55431,335700,128367,28653,79043,2515,205486,177266,739571,297400,1398725,416173,232955,26539.199999999997,34691.67843055247,18766.536043392432,37,37.252239978279
42,Pennsylvania,2004,11971696,5776566,6195130,2827744,8143672,3409208,2343447,9950279,1175109,449574,257367,13408,108352,17607,272314,239644,2592563,1156006,4975050,1266723,745893,28750.799999999996,38567.82443319509,20725.903126614758,39,38.54166661097977
44,Rhode Island,2004,1037002,499466,537536,243667,705453,294539,186147,830436,46902,109192,27593,4016,11796,7067,66686,59671,232600,121640,385368,119338,79107,32068.199999999997,39509.76670487273,22266.98288004054,38,37.86223941708888
45,South Carolina,2004,4059838,1966929,2092909,1015485,2675694,1231890,683154,2674212,1170558,120681,44650,6986,39406,3345,103192,90828,910210,496773,1521569,446462,210890,26539.199999999997,35714.346979863614,19009.62993396091,36,36.601682382400476
46,South Dakota,2004,741480,368061,373419,188806,479068,231149,133343,692312,5759,12773,5838,16305,8176,317,6589,5686,166988,50675,317171,82997,28225,24327.6,30621.909929066896,18350.128803319305,36,36.835585585585584
47,Tennessee,2004,5743167,2789820,2953347,1378929,3848983,1664281,983217,4488067,930305,165408,77193,14326,53137,14731,146702,132026,1212738,742169,2250048,553925,302841,26539.199999999997,34992.12628632197,19157.778831963096,37,36.85040239993022
48,Texas,2004,21890579,10802487,11088092,6217050,13479499,7343340,2891165,10887296,2367370,7617900,709067,54672,210279,43995,2235446,1936340,5450362,2844625,7160872,2369990,1104012,27644.999999999996,38179.67762930462,20115.522610491797,33,33.70419480453213
49,Utah,2004,2349472,1176614,1172858,736101,1313608,889843,263174,1982781,19193,249091,59148,12532,24863,1864,111729,96948,659939,142258,803728,255298,112324,24327.6,33231.88982307852,17935.709723329408,27,31.035036808270114
50,Vermont,2004,600632,295756,304876,135258,417159,164515,106355,577170,3124,5124,5614,1281,7882,437,11067,9703,127688,44967,238586,82211,51395,27644.999999999996,34895.74503803268,21446.00724023495,40,38.682346261937425
51,Virginia,2004,7219758,3525672,3694086,1789059,4788638,2150700,1135164,4963724,1375138,418910,332872,13528,98992,16594,405042,361231,1606267,722927,2500582,933334,631795,33174,44181.616419070335,25083.3020092915,36,36.32097793305538
53,Washington,2004,6071325,3008485,3062840,1489688,3995056,1848071,942535,4688183,194763,523837,398709,69413,182911,13509,384791,332685,1349156,421938,2319417,816807,436894,30962.399999999998,40031.93282128108,22201.221939725412,36,36.26653078199569
54,West Virginia,2004,1771784,863825,907959,383811,1233393,478361,359581,1677266,54074,10989,7403,2154,18052,1846,6348,5792,348616,254514,777735,126189,74955,23774.699999999997,30647.78338264132,14690.062037342248,40,39.28139716805209
55,Wisconsin,2004,5353642,2647351,2706291,1303512,3543158,1615208,911666,4619611,298104,234378,94511,42675,60403,3960,136710,115992,1223270,456781,2231643,580612,274122,27644.999999999996,35458.132358700634,20755.875249559416,37,36.9516331125615
56,Wyoming,2004,492534,246737,245797,115882,324386,149552,81149,436212,3538,33011,3100,10723,5742,208,9131,7981,105475,30229,213737,55809,24611,26539.199999999997,34127.445336176526,20951.405459917893,38,37.20651772263437
